symbol,entity_id,whyfail
GLOV,GLOV,emptyfail
FATBB,FATBB,emptyfail
VSPC,VSPC,emptyfail
FATBP,FATBP,emptyfail
AZNH,AZNH,emptyfail
SPC,SPC,emptyfail
INCC,INCC,emptyfail
EQCHX,EQCHX,emptyfail
2803.HK,2803.HK,emptyfail
SEEU.MI,SEEU.MI,emptyfail
AMDU,AMDU,emptyfail
HIMY,HIMY,emptyfail
PLT,PLT,emptyfail
QEV.AS,QEV.AS,emptyfail
ETHI,ETHI,emptyfail
FAVO,FAVO,emptyfail
TRIL,TRIL,emptyfail
LLYZ,LLYZ,emptyfail
BFINX,BFINX,emptyfail
HOOI,HOOI,emptyfail
0P0000VG7C.F,0P0000VG7C.F,emptyfail
MLCOT.PA,MLCOT.PA,emptyfail
MLEDS.PA,MLEDS.PA,emptyfail
XCSIX,XCSIX,emptyfail
LSIB40.CO,LSIB40.CO,emptyfail
EGB3.MI,EGB3.MI,emptyfail
MLHBB.PA,MLHBB.PA,emptyfail
WDMTF,WDMTF,emptyfail
INFR,INFR,emptyfail
82843.HK,82843.HK,emptyfail
KMGMILK.BO,KMGMILK.BO,emptyfail
VIVO.NS,VIVO.NS,emptyfail
MONIND.BO,MONIND.BO,emptyfail
MAYHX,MAYHX,emptyfail
9077.HK,9077.HK,emptyfail
MLMAZ.BR,MLMAZ.BR,emptyfail
TACENT.BO,TACENT.BO,emptyfail
HEUBACHIND.NS,HEUBACHIND.NS,emptyfail
HIMGX,HIMGX,emptyfail
GLDU.L,GLDU.L,emptyfail
SGLTL.NS,SGLTL.NS,emptyfail
AMIABLE.NS,AMIABLE.NS,emptyfail
JMG,JMG,emptyfail
GLDRF,GLDRF,emptyfail
WILD,WILD,emptyfail
MDPEF,MDPEF,emptyfail
MKLYU,MKLYU,emptyfail
GCNJF,GCNJF,emptyfail
SSF-UN.TO,SSF-UN.TO,emptyfail
RSVIX,RSVIX,emptyfail
TEEAX,TEEAX,emptyfail
RMVIX,RMVIX,emptyfail
CYZN,CYZN,emptyfail
RBRCX,RBRCX,emptyfail
2STR.MI,2STR.MI,emptyfail
KKUR,KKUR,emptyfail
RJMG,RJMG,emptyfail
PRCF,PRCF,emptyfail
SGBG,SGBG,emptyfail
CMBG.L,CMBG.L,emptyfail
WEIWEO.CO,WEIWEO.CO,emptyfail
BEEI,BEEI,emptyfail
HBMBF,HBMBF,emptyfail
MLGAI.PA,MLGAI.PA,emptyfail
GRLF,GRLF,emptyfail
BAS.L,BAS.L,emptyfail
FTHCX,FTHCX,emptyfail
FADTX,FADTX,emptyfail
KOGL,KOGL,emptyfail
VSNTV,VSNTV,emptyfail
XFIX,XFIX,emptyfail
VRAP.PA,VRAP.PA,emptyfail
FALAX,FALAX,emptyfail
FATEX,FATEX,emptyfail
AGH.AX,AGH.AX,emptyfail
MFVZX,MFVZX,emptyfail
FEOPX,FEOPX,emptyfail
RAAAX,RAAAX,emptyfail
FALIX,FALIX,emptyfail
FANIX,FANIX,emptyfail
DAXXF,DAXXF,emptyfail
RAAIX,RAAIX,emptyfail
FIDLX,FIDLX,emptyfail
MASFX,MASFX,emptyfail
BDKNX,BDKNX,emptyfail
BXEYX,BXEYX,emptyfail
TXGE,TXGE,emptyfail
FLCCX,FLCCX,emptyfail
BXEAX,BXEAX,emptyfail
XPM,XPM,emptyfail
MASNX,MASNX,emptyfail
FATIX,FATIX,emptyfail
FIKHX,FIKHX,emptyfail
IB25.MI,IB25.MI,emptyfail
VGDDF,VGDDF,emptyfail
FCYIX,FCYIX,emptyfail
3094.T,3094.T,emptyfail
LAT1V.HE,LAT1V.HE,emptyfail
UVA.AX,UVA.AX,emptyfail
LONE.V,LONE.V,emptyfail
3BUS.MI,3BUS.MI,emptyfail
FNMC-SDB.ST,FNMC-SDB.ST,emptyfail
POPFX,POPFX,emptyfail
KTR.V,KTR.V,emptyfail
ISML,ISML,emptyfail
MRKY,MRKY,emptyfail
PHXE,PHXE,emptyfail
AWEG,AWEG,emptyfail
FBM.AX,FBM.AX,emptyfail
GLA.AX,GLA.AX,emptyfail
CSHEF,CSHEF,emptyfail
ROBXF,ROBXF,emptyfail
EQN.AX,EQN.AX,emptyfail
UTISENSETF.NS,UTISENSETF.NS,emptyfail
IT25.SW,IT25.SW,emptyfail
SIC.V,SIC.V,emptyfail
USTP.DE,USTP.DE,emptyfail
UTINIFTETF.BO,UTINIFTETF.BO,emptyfail
GOLDSHARE.NS,GOLDSHARE.NS,emptyfail
UTINEXT50.BO,UTINEXT50.BO,emptyfail
UTISENSETF.BO,UTISENSETF.BO,emptyfail
