,Bottom 50%,Top 50-25%,Top 25-10%,Top 10-5%,Top 5-1%,Top 1%
Bottom 50%,1.0,0.9870904627673763,1.7166920900424887,4.592160820612048,2.7454761675574733,-1.2447402445177127
Top 50-25%,1.0130783729754929,1.0,1.739143629480143,4.652218812587458,2.781382528872117,-1.2610194216931216
Top 25-10%,0.5825156449432056,0.5749956375362255,1.0,2.6750055221017477,1.5992828204209422,-0.725080666321999
Top 10-5%,0.21776240838767463,0.21495119646872815,0.3738310039877232,1.0,0.5978615024182784,-0.27105763346324013
Top 5-1%,0.3642355420224445,0.3595334297312609,0.625280273902269,1.672628185549863,1.0,-0.4533786376390592
Top 1%,-0.803380467856135,-0.7930091977943836,-1.3791568944632608,-3.6892523085339204,-2.2056619279801915,1.0
