source,BoScore,AggScore,rankOfRanks,Altman-Z,Piotroski,CycleHeat,moatScore,grahamNumberToPrice,earnYield,returnOnEquity,Original_Rank,OLS_Rank,OLS_Score
ENVA,0.17315912107877762,0.926859708971806,1.0,-0.21836964951006388,0.7693229107955036,0.05538447039824981,5,-0.10077170761452513,0.23634384930990793,-0.0991154574314779,1,33.0,0.3568175685634848
SLP.L,-0.004859919816439354,0.9142671396795384,0.1,0.001856475804693497,0.21585319079873833,0.6670787953345988,5,0.19748201249987282,3.1881072213814208,0.1171916590842617,2,40.0,-0.015198905455336293
GSL-PB,-0.08140810740138235,0.8897470494967475,0.8,-0.2251948177476689,0.21585319079873833,0.32200323768179406,4,0.38561729253649335,4.263712879849671,0.048738169103617786,3,56.5,-0.5272914651325994
GSL,-0.08140810740138235,0.8897470494967475,0.8,-0.2251948177476689,0.21585319079873833,0.32200323768179406,4,0.38561729253649335,4.263712879849671,0.048738169103617786,4,56.5,-0.5272914651325994
CFX.L,0.19986197721306065,0.5994620266407037,0.7,-0.18507780148543415,0.7693229107955036,0.25477635078613775,3,-0.045071793926101035,1.2271596908747744,0.08925255899169078,5,60.0,-0.7498247779543297
CAPD.L,-0.09208924985509526,0.56849999044005,0.4,-0.21785534111467086,-0.33761652919802704,0.18866178081636564,3,0.11516522909775977,2.4293696860324707,0.04159954089772605,6,68.0,-0.9571615514531348
SYF,-0.08852886903719062,0.530019691080514,2.9,-0.33144234180911214,1.322792630792269,-0.08978945938799843,6,-0.034704820698921175,0.7932293179566876,-0.06589059728626676,7,30.5,0.45522251913463024
SYF-PA,-0.08852886903719062,0.530019691080514,2.9,-0.33144234180911214,1.322792630792269,-0.08978945938799843,6,-0.034704820698921175,0.7932293179566876,-0.06589059728626676,8,30.5,0.45522251913463024
RFX.L,0.0093816034551777,0.43096182034338304,0.2,-0.08512671585708036,0.21585319079873833,0.41084784360167986,5,-0.057642361895314506,1.1763820582832056,0.004179262464146803,9,74.0,-1.0316458430682152
AEP.L,0.06990807735955207,0.40231158584831295,0.3,0.02024274280007466,0.7693229107955036,0.2688169512243195,3,0.2353468765907021,2.462129194396361,-0.034159421011472534,10,34.0,0.28879102774556353
MPE.L,-0.06716658412976478,0.16260043638246324,0.9,0.049008664407224456,-0.33761652919802704,-0.14355008868429034,3,-0.06918292428147949,0.6755362708659945,-0.061441335217664685,11,48.0,-0.2724417689921846
PRU.TO,0.18740064435039516,0.1616128545390752,0.5,0.31693051884352735,-1.4445559691915577,-0.565498385284464,4,-0.034655983508207464,0.6653559465643658,0.00812093550588044,12,9.0,1.803017366310726
CDFF.L,0.005821222637273562,0.1469759290934205,0.6,0.5508927873840391,-0.8910862491947924,0.7139618237827546,6,-0.04088162767704864,0.07635659786507015,-0.20697885877902367,13,54.0,-0.46748507395849925
HSM.L,-0.09386944026404784,0.1401465617491828,1.2,-0.09967974794843885,0.7693229107955036,0.5873890978201352,4,0.0105976477459521,1.0524483974867545,-0.007620665954617677,14,78.0,-1.2040438962519724
RRBI,-0.0903090594461437,0.1382915704176185,2.3,-0.360280687866095,0.7693229107955036,0.48466332332469214,5,-0.1301083447462157,-0.207292581892138,-0.17378966990672604,15,86.0,-1.5275914310225422
NEXN,0.06634769654164743,0.10171379601122835,2.6,-0.23136487970802,-0.8910862491947924,0.7139618237827546,4,-0.1999776679778363,-1.0499936293856895,-0.2861003795323013,16,55.0,-0.5050389950690498
M12.DE,0.04142503081631696,0.09525445264323354,2.4,-0.042494278325502365,0.7693229107955036,-0.565498385284464,2,-0.22350028068497924,-0.3764286795946539,-0.055947584652951146,17,37.0,0.13317092739508973
0HQ7.L,-0.0778477265834777,0.09396887268294478,2.2,-0.09138421559951837,0.7693229107955036,0.7139618237827546,4,-0.2568249192831178,-0.005531883248784295,0.34499885015413706,18,72.5,-1.0254118847583618
BKE,-0.0778477265834777,0.09396887268294478,2.2,-0.09138421559951837,0.7693229107955036,0.7139618237827546,4,-0.2568249192831178,-0.005531883248784295,0.34499885015413706,19,72.5,-1.0254118847583618
GFM.L,-0.0547052512670998,0.08492776212338175,1.3,0.07834240983765656,-0.33761652919802704,0.44783338912486814,3,-0.13159350272603632,0.1412739319563132,-0.1425781326688892,20,61.0,-0.7538072560949064
0QQF.L,0.1856204539414431,0.06384583010395575,1.5,-0.1697378692423811,0.21585319079873833,-0.565498385284464,3,0.08794333818210587,0.36082050512582664,-0.14594989893280905,21,17.0,1.0092407890165407
DORO.ST,-0.06894677453871685,0.06383342503613607,1.2,-0.17565338386102305,-0.33761652919802704,0.7139618237827546,2,-0.09788541849709079,0.6467435453924707,0.014602244403800115,22,89.0,-2.304412952619588
MPCK.DE,-0.02622220472386519,0.05411248776545088,1.1,-0.008099615457450481,-0.33761652919802704,-0.565498385284464,6,0.010650617438384762,-0.3162113670935266,-0.17459157307495055,23,41.0,-0.13551046223697744
HNNAZ,-0.07606753617452564,0.05055263271279069,1.8,-0.20211544492265712,0.21585319079873833,0.5839489428680243,6,-0.05176370129683154,-0.2021625773711485,-0.23229671872040222,24,67.0,-0.9413214902998889
HNNA,-0.07606753617452564,0.044773088908620154,1.9,-0.20211544492265712,0.21585319079873833,0.526153504826319,6,-0.05176370129683154,-0.2021625773711485,-0.23229671872040222,25,65.0,-0.8899260376742363
0JSU.L,0.18918083475934674,0.04097195985842481,1.4,-0.11400370251842835,0.21585319079873833,0.282991218826661,4,0.08070816467403223,0.7992130069092425,-0.1411355230904774,26,39.0,0.027007781549154685
SRB.L,0.221224262120486,0.02980614662356814,1.7,0.09137401869107853,0.7693229107955036,-0.565498385284464,2,0.20027991029078732,0.8105651086211955,-0.1363785707482506,27,3.0,2.654252061048114
SBI.TO,0.21232331007572514,0.027823878855089624,2.0,-0.018748505856304568,0.7693229107955036,-0.565498385284464,3,0.20100704677838963,0.8105651086211955,-0.1363785707482506,28,4.0,2.650349334454536
RAVE,0.16069778821611314,0.014495134533663051,1.1,0.48859518574949695,-1.4445559691915577,0.4530140291385671,6,-0.192710819814535,0.5779055765879524,0.06396423355413608,29,66.0,-0.9158341207245619
ITRN,0.05922693490583916,-0.0024616889017073347,2.7,-0.09466922353713417,0.7693229107955036,0.2454148341394899,2,-0.2502246970711777,-0.3732913515559832,0.028182331074381988,30,82.0,-1.3442855407083478
EXEL,-0.07428734576557357,-0.013830935147258083,3.5,0.2956754058413804,0.21585319079873833,-0.3216311741103906,4,-0.29187272189952657,-0.8872056385722447,-0.10998351047967579,31,51.5,-0.4258267377204755
0IJO.L,-0.07428734576557357,-0.013830935147258083,3.5,0.2956754058413804,0.21585319079873833,-0.3216311741103906,4,-0.29187272189952657,-0.8872056385722447,-0.10998351047967579,32,51.5,-0.4258267377204755
TCL-A.TO,0.0022608418193694256,-0.013954628360419118,3.1,-0.22452298758868047,0.21585319079873833,0.4416228200131943,2,-0.06567182240805707,-0.2696440449086258,-0.24304153362996922,33,58.5,-0.6655803647060933
TCL-B.TO,0.0022608418193694256,-0.013954628360419118,3.1,-0.22452298758868047,0.21585319079873833,0.4416228200131943,2,-0.06567182240805707,-0.2696440449086258,-0.24304153362996922,34,58.5,-0.6655803647060933
0DZJ.L,-0.04224391840443482,-0.06163764488399202,3.3,-0.20294995978810063,-0.8910862491947924,0.7139618237827546,4,-0.019725267052376337,0.7172136437535965,-0.08195200960204434,35,81.0,-1.3408509790974736
SNX.L,0.20698273884886895,-0.09226274033187902,3.7,-0.13321114439765122,0.21585319079873833,-0.565498385284464,3,0.006233046585705956,-1.3184060488451148,-0.2933143907512177,36,24.0,0.6877320599127921
FRES.L,-0.052925060858147736,-0.09265772522351169,1.9,0.059175125846978704,-0.33761652919802704,0.060094248404213825,4,-0.21512127220108998,-0.07626447252405442,0.023963976776483507,37,29.0,0.48874667358833085
ANP.L,0.07702883899536085,-0.11516800986743751,2.1,0.05298500055039235,-0.33761652919802704,0.12239585066852558,4,-0.19673582935495113,-0.22993573380929597,-0.06756172185254035,38,75.0,-1.0529590402565416
0R4M.L,-0.09742982108195247,-0.13624131642756276,3.0,0.03263346703958926,-1.4445559691915577,-0.565498385284464,6,-0.2601843734855928,-0.6022065388353751,0.01968596590694273,39,11.0,1.3437953760242458
