source,BoScore,AggScore,rankOfRanks,Altman-Z,Piotroski,CycleHeat,moatScore,grahamNumberToPrice,earnYield,returnOnEquity,Original_Rank,OLS_Rank,OLS_Score
ENVA,0.17315912107877762,0.9268597089718063,1.0,-0.21836964951006388,0.7693229107955036,0.05538447039824981,5,-0.10077170761452513,0.23634384930990793,-0.0991154574314779,1,33.0,0.3571201401616009
SLP.L,-0.004859919816439354,0.9141530430167413,0.1,0.001856475804693497,0.21585319079873833,0.6670787953345988,5,0.19748201249987282,3.1881072213814208,0.1171916590842617,2,40.0,-0.01917702604892739
GSL-PB,-0.08140810740138235,0.8892120925036864,0.8,-0.2251948177476689,0.21585319079873833,0.32200323768179406,4,0.38561729253649335,4.263712879849671,0.048738169103617786,3,56.5,-0.5281705028088199
GSL,-0.08140810740138235,0.8892120925036864,0.8,-0.2251948177476689,0.21585319079873833,0.32200323768179406,4,0.38561729253649335,4.263712879849671,0.048738169103617786,4,56.5,-0.5281705028088199
CFX.L,0.19986197721306065,0.5994620266407039,0.7,-0.18507780148543415,0.7693229107955036,0.25477635078613775,3,-0.045071793926101035,1.2271596908747744,0.08925255899169078,5,60.0,-0.7492096253406403
CAPD.L,-0.09208924985509526,0.56849999044005,0.4,-0.21785534111467086,-0.33761652919802704,0.18866178081636564,3,0.11516522909775977,2.4293696860324707,0.04159954089772605,6,68.0,-0.9604678532234313
SYF,-0.08852886903719062,0.5300196910805139,2.9,-0.33144234180911214,1.322792630792269,-0.08978945938799843,6,-0.034704820698921175,0.7932293179566876,-0.06589059728626676,7,30.5,0.4542659742969378
SYF-PA,-0.08852886903719062,0.5300196910805139,2.9,-0.33144234180911214,1.322792630792269,-0.08978945938799843,6,-0.034704820698921175,0.7932293179566876,-0.06589059728626676,8,30.5,0.4542659742969378
RFX.L,0.0093816034551777,0.42959208369379837,0.2,-0.08512671585708036,0.21585319079873833,0.41084784360167986,5,-0.057642361895314506,1.1763820582832056,0.004179262464146803,9,72.0,-1.0233561580067876
AEP.L,0.06990807735955207,0.4006852801660564,0.3,0.02024274280007466,0.7693229107955036,0.2688169512243195,3,0.2353468765907021,2.462129194396361,-0.034159421011472534,10,34.0,0.2992175036577423
MPE.L,-0.06716658412976478,0.16260043638246321,0.9,0.049008664407224456,-0.33761652919802704,-0.14355008868429034,3,-0.06918292428147949,0.6755362708659945,-0.061441335217664685,11,48.0,-0.2777678976167308
PRU.TO,0.18740064435039516,0.16153193006925542,0.5,0.31693051884352735,-1.4445559691915577,-0.565498385284464,4,-0.034655983508207464,0.6653559465643658,0.00812093550588044,12,9.0,1.8019429683726702
CDFF.L,0.005821222637273562,0.14697592909342044,0.6,0.5508927873840391,-0.8910862491947924,0.7139618237827546,6,-0.04088162767704864,0.07635659786507015,-0.20697885877902367,13,54.0,-0.47234950153601823
HSM.L,-0.09386944026404784,0.14011890493132723,1.3,-0.09967974794843885,0.7693229107955036,0.5873890978201352,4,0.0105976477459521,1.0524483974867545,-0.007620665954617677,14,78.0,-1.2036152126786308
RRBI,-0.0903090594461437,0.13910160453464424,2.3,-0.360280687866095,0.7693229107955036,0.48466332332469214,5,-0.1301083447462157,-0.207292581892138,-0.17378966990672604,15,86.0,-1.5271844212605523
NEXN,0.06634769654164743,0.10171379601122829,2.6,-0.23136487970802,-0.8910862491947924,0.7139618237827546,4,-0.1999776679778363,-1.0499936293856895,-0.2861003795323013,16,55.0,-0.5008027186958658
0HQ7.L,-0.0778477265834777,0.09597642404206823,2.2,-0.09138421559951837,0.7693229107955036,0.7139618237827546,4,-0.2568249192831178,-0.005531883248784295,0.34499885015413706,17,73.5,-1.0302059561514503
BKE,-0.0778477265834777,0.09597642404206823,2.2,-0.09138421559951837,0.7693229107955036,0.7139618237827546,4,-0.2568249192831178,-0.005531883248784295,0.34499885015413706,18,73.5,-1.0302059561514503
M12.DE,0.04142503081631696,0.09501678007877708,2.4,-0.042494278325502365,0.7693229107955036,-0.565498385284464,2,-0.22350028068497924,-0.3764286795946539,-0.055947584652951146,19,37.0,0.13355906453467908
GFM.L,-0.0547052512670998,0.08504148517872043,1.4,0.07834240983765656,-0.33761652919802704,0.44783338912486814,3,-0.13159350272603632,0.1412739319563132,-0.1425781326688892,20,61.0,-0.7546263255622131
DORO.ST,-0.06894677453871685,0.06402222915131732,1.3,-0.17565338386102305,-0.33761652919802704,0.7139618237827546,2,-0.09788541849709079,0.6467435453924707,0.014602244403800115,21,89.0,-2.3001066291043055
0QQF.L,0.1856204539414431,0.06309750488937524,1.6,-0.1697378692423811,0.21585319079873833,-0.565498385284464,3,0.08794333818210587,0.36082050512582664,-0.14594989893280905,22,17.0,1.0147839770789113
MPCK.DE,-0.02622220472386519,0.05221968160723249,1.2,-0.008099615457450481,-0.33761652919802704,-0.565498385284464,6,0.010650617438384762,-0.3162113670935266,-0.17459157307495055,23,41.0,-0.13107193033082806
HNNAZ,-0.07606753617452564,0.050552632712790715,1.8,-0.20211544492265712,0.21585319079873833,0.5839489428680243,6,-0.05176370129683154,-0.2021625773711485,-0.23229671872040222,24,67.0,-0.9385875799863761
HNNA,-0.07606753617452564,0.04477308890862015,1.9,-0.20211544492265712,0.21585319079873833,0.526153504826319,6,-0.05176370129683154,-0.2021625773711485,-0.23229671872040222,25,65.0,-0.8875319959422334
0JSU.L,0.18918083475934674,0.041661995698667895,1.5,-0.11400370251842835,0.21585319079873833,0.282991218826661,4,0.08070816467403223,0.7992130069092425,-0.1411355230904774,26,38.0,0.033815576543174096
SRB.L,0.221224262120486,0.029415561393595867,1.7,0.09137401869107853,0.7693229107955036,-0.565498385284464,2,0.20027991029078732,0.8105651086211955,-0.1363785707482506,27,3.0,2.652172205704565
SBI.TO,0.21232331007572514,0.027558006552829757,2.0,-0.018748505856304568,0.7693229107955036,-0.565498385284464,3,0.20100704677838963,0.8105651086211955,-0.1363785707482506,28,4.0,2.648505772536867
RAVE,0.16069778821611314,0.016973396522310124,1.1,0.48859518574949695,-1.4445559691915577,0.4530140291385671,6,-0.192710819814535,0.5779055765879524,0.06396423355413608,29,66.0,-0.9306850792167735
ITRN,0.05922693490583916,-0.0038951904417583116,2.7,-0.09466922353713417,0.7693229107955036,0.2454148341394899,2,-0.2502246970711777,-0.3732913515559832,0.028182331074381988,30,81.0,-1.333689694374542
TCL-A.TO,0.0022608418193694256,-0.012191589524787484,3.0,-0.22452298758868047,0.21585319079873833,0.4416228200131943,2,-0.06567182240805707,-0.2696440449086258,-0.24304153362996922,31,58.5,-0.669400142421473
TCL-B.TO,0.0022608418193694256,-0.012191589524787484,3.0,-0.22452298758868047,0.21585319079873833,0.4416228200131943,2,-0.06567182240805707,-0.2696440449086258,-0.24304153362996922,32,58.5,-0.669400142421473
EXEL,-0.07428734576557357,-0.018311425394654735,3.5,0.2956754058413804,0.21585319079873833,-0.3216311741103906,4,-0.29187272189952657,-0.8872056385722447,-0.10998351047967579,33,51.5,-0.41296029986808896
0IJO.L,-0.07428734576557357,-0.018311425394654735,3.5,0.2956754058413804,0.21585319079873833,-0.3216311741103906,4,-0.29187272189952657,-0.8872056385722447,-0.10998351047967579,34,51.5,-0.41296029986808896
0DZJ.L,-0.04224391840443482,-0.06163764488399202,3.3,-0.20294995978810063,-0.8910862491947924,0.7139618237827546,4,-0.019725267052376337,0.7172136437535965,-0.08195200960204434,35,82.0,-1.3355150551564408
SNX.L,0.20698273884886895,-0.09226274033187906,3.7,-0.13321114439765122,0.21585319079873833,-0.565498385284464,3,0.006233046585705956,-1.3184060488451148,-0.2933143907512177,36,24.0,0.6867617932083863
FRES.L,-0.052925060858147736,-0.09268260237355777,1.9,0.059175125846978704,-0.33761652919802704,0.060094248404213825,4,-0.21512127220108998,-0.07626447252405442,0.023963976776483507,37,29.0,0.48487243073744807
ANP.L,0.07702883899536085,-0.11510786151984106,2.1,0.05298500055039235,-0.33761652919802704,0.12239585066852558,4,-0.19673582935495113,-0.22993573380929597,-0.06756172185254035,38,75.0,-1.0541704995410452
0R4M.L,-0.09742982108195247,-0.13676187524652414,3.1,0.03263346703958926,-1.4445559691915577,-0.565498385284464,6,-0.2601843734855928,-0.6022065388353751,0.01968596590694273,39,11.0,1.3447730884894593
CKN.L,0.0022608418193699313,-0.13709405059660512,3.2,-0.11273902669425759,-1.998025689188323,0.23690018549014644,5,-0.18130234949688284,-0.41842159675262275,-0.09773559625820685,40,62.0,-0.7935112455311466
MSA.TO,0.10195150472069132,-0.14641583184318455,2.5,-0.09802709196258663,-0.33761652919802704,-0.565498385284464,5,0.230991615189512,0.624982214916958,-0.1371698904574646,41,2.0,2.9735082657023355
SBOK.ST,-0.06004582249395701,-0.15849667360106492,1.6,-0.09235307823295955,-1.4445559691915577,0.6661253352876171,3,-0.024419645566747604,0.2983678074695968,-0.18886731211192775,42,84.0,-1.3968444419208574
SEIC,-0.04224391840443482,-0.19681917109172412,3.4,0.5648886504152328,-0.33761652919802704,0.4125636025898502,6,-0.2902556390807694,-0.7042417851660504,-0.00505021219049806,43,32.0,0.3761578316845221
GFI,-0.09208924985509526,-0.20070426896200147,4.7,-0.08816528773762135,0.7693229107955036,-0.565498385284464,3,-0.17554474337863796,-0.3541435893151883,0.004464831103763423,44,16.0,1.0732683875253235
DPM.TO,0.030743888362604544,-0.20621246896859816,2.5,-0.0006258389008378728,-0.8910862491947924,-0.48677824556858723,5,-0.08136372547443663,-0.017234393323001022,-0.14438054915771914,45,20.0,0.7959625014516726
HEN3.DE,-0.06894677453871736,-0.20916327450831798,4.2,-0.17915113573263905,-0.33761652919802704,0.5645532624156948,4,-0.17876957164290236,-0.18754364023444342,-0.08720879926604172,46,70.5,-1.0132214994722388
HEN.DE,-0.06894677453871736,-0.20916327450831798,4.2,-0.17915113573263905,-0.33761652919802704,0.5645532624156948,4,-0.17876957164290236,-0.18754364023444342,-0.08720879926604172,47,70.5,-1.0132214994722388
0LJL.L,0.028963697953652473,-0.2102174314656695,5.8,-0.21395134493386234,0.7693229107955036,-0.030662703757767026,3,-0.18305942869376002,-0.3524404242741531,-0.14243826729694226,48,63.5,-0.838508679006211
UHS,0.028963697953652473,-0.2102174314656695,5.8,-0.21395134493386234,0.7693229107955036,-0.030662703757767026,3,-0.18305942869376002,-0.3524404242741531,-0.14243826729694226,49,63.5,-0.838508679006211
DNG.TO,-0.0493646800402441,-0.23226391743700328,2.8,-0.07785004638682483,-0.33761652919802704,0.3012239699861488,2,-0.07605910055911705,0.3300888890549949,-0.11864060426436537,50,77.0,-1.1598254083002613
0L7G.L,0.014722174682034917,-0.23359009061468602,4.3,-0.005383025967858538,0.21585319079873833,0.5499123301826884,7,-0.25476910905111816,-0.5885748468486462,-0.07774189979166067,51,44.5,-0.2635793477471393
SNA,0.014722174682034917,-0.23359009061468602,4.3,-0.005383025967858538,0.21585319079873833,0.5499123301826884,7,-0.25476910905111816,-0.5885748468486462,-0.07774189979166067,52,44.5,-0.2635793477471393
0JT5.L,-0.08140810740138235,-0.24120937365717796,4.9,0.2099802233488964,0.21585319079873833,0.03129096995073347,7,-0.34303693505107247,-0.815758388731936,0.39665712381259327,53,14.5,1.1064137836225032
LRCX,-0.08140810740138235,-0.24120937365717796,4.9,0.2099802233488964,0.21585319079873833,0.03129096995073347,7,-0.34303693505107247,-0.815758388731936,0.39665712381259327,54,14.5,1.1064137836225032
ZM,-0.06538639372081272,-0.2420095548233656,4.4,0.18004944593685743,-0.33761652919802704,-0.565498385284464,5,-0.3053530749488416,-1.069772051178929,-0.1917316071091273,55,50.0,-0.36387450408693134
0RPW.L,-0.09742982108195197,-0.24557827726264944,5.1,-0.1354329758331411,0.21585319079873833,0.171669857580401,5,-0.1239334533659577,-0.39581702365522026,-0.21056359505096012,56,49.0,-0.35068360228378476
0QME.L,-0.02444201431491312,-0.24727713287050604,4.0,-0.055711683357079114,-1.4445559691915577,-0.565498385284464,5,-0.12115425951629007,-1.0752863215158641,-0.26122519114959497,57,53.0,-0.4627082796012739
0A1O.L,-0.038683537586530176,-0.2581188131385538,4.5,0.18101994611347696,-0.33761652919802704,-0.565498385284464,5,-0.3053530749488416,-1.069772051178929,-0.1917316071091273,58,43.0,-0.21843651850916854
SAFT,-0.08318829781033442,-0.30944895822491986,5.2,-0.2642500781161237,-0.33761652919802704,0.5385598316668997,5,-0.21606426010458057,-0.8347790113268102,-0.2379417928335911,59,85.0,-1.4534872597768225
VH2.DE,-0.07962791699243027,-0.3125831617791234,6.2,0.020816806067988837,1.322792630792269,-0.5166885149807153,2,-0.269368853390208,-0.8290836589718806,-0.1265644927496824,60,36.0,0.21906245623275197
0QQM.L,-0.09208924985509577,-0.3165459991198263,3.9,0.10370703477467147,-1.4445559691915577,0.6501658772220309,4,-0.23157310043547535,-0.41868989267054907,-0.06306361441175572,61,88.0,-1.7325119207803286
GMR.L,0.1678185498519219,-0.33136300373997535,4.8,0.7613423511053895,0.21585319079873833,0.7139618237827546,4,-0.2664379905789222,-2.706800682845994,-0.3374315665828179,62,19.0,0.8143427666939281
AEM.TO,0.11263264717440424,-0.333813912449307,5.3,0.0404955339173148,0.21585319079873833,-0.23320661491510156,5,-0.23581594725856633,-0.8153127126977278,-0.21114166771559567,63,22.0,0.7504379280906435
AEM,0.11263264717440424,-0.36172941151046006,5.5,0.0404955339173148,0.21585319079873833,-0.23526621636598977,4,-0.2347725308206672,-0.8153127126977278,-0.21114166771559567,64,23.0,0.7282505647319394
0R2J.L,0.0859297910401217,-0.3642926551568789,5.6,0.0404955339173148,0.21585319079873833,-0.23526621636598977,4,-0.2347725308206672,-0.8153127126977278,-0.21114166771559567,65,25.0,0.6800542642651078
TCBX,-0.07428734576557407,-0.38318057052363275,5.0,-0.30258143876764737,0.21585319079873833,0.013342568667003769,3,-0.030355213622659593,0.00146829723771845,-0.22238820550527807,66,42.0,-0.14478048948723155
SCSC,-0.08140810740138285,-0.4022035069934523,6.3,-0.19363718750485928,0.7693229107955036,-0.565498385284464,3,-0.1087007588003164,-0.2856257125282637,-0.21329384064950616,67,39.0,0.03169471950837211
EVER,0.0022608418193694256,-0.40630295361732716,6.9,0.1340129490125331,0.7693229107955036,0.7139618237827546,5,-0.3206310204360767,-2.2048466494100927,-0.44856236092154855,68,76.0,-1.1189991210866623
0VL5.L,0.00048065141041735696,-0.4143920291485784,3.8,-0.05790474538881487,0.21585319079873833,-0.565498385284464,5,-0.004190135426771428,0.42138023021293375,-0.16818169506506989,69,8.0,1.8092741412622073
TXG.TO,-0.017321252679104338,-0.41779348716309306,4.1,-0.05790474538881487,0.21585319079873833,-0.565498385284464,5,-0.006719522634107938,0.42138023021293375,-0.16818169506506989,70,10.0,1.7745918299400247
0J7X.L,0.005821222637273562,-0.4184759609311176,5.5,-0.17310374020990243,1.322792630792269,-0.565498385284464,3,-0.22772551610883526,-0.9402312549912649,-0.26713086404716313,71,46.5,-0.2653887618486801
