source,BoScore,AggScore,rankOfRanks,Altman-Z,Piotroski,CycleHeat,moatScore,grahamNumberToPrice,earnYield,returnOnEquity,Original_Rank,OLS_Rank,OLS_Score
ENVA,0.17300838938680482,0.7030960466861219,0.2,-0.10185059308162839,-1.6607295511767879,0.2127920264050514,4,0.03681440512673728,1.9858417418016898,0.19655093722926037,1,34.0,0.30957216291559797
GSL,-0.08068520866808684,0.6192846900234793,1.1,-0.12148040308612597,0.24549915104352538,0.2127920264050514,4,0.6713382280605944,3.405137704635229,0.18374239371893492,2,48.5,-0.36199810070775357
GSL-PB,-0.08068520866808684,0.6192846900234793,1.1,-0.12148040308612597,0.24549915104352538,0.2127920264050514,4,0.6713382280605944,3.405137704635229,0.18374239371893492,3,48.5,-0.36199810070775357
SBOK.ST,-0.059396235404739976,0.5063230181506779,0.3,-0.10279264917001754,1.1986135021536821,0.2127920264050514,3,0.020269391047554524,0.8019001430942214,0.04249714859415772,4,79.0,-1.3641447653123664
SLP.L,-0.004399721141091663,0.48710361511326916,0.1,-0.10015598067840026,-0.7076152000666311,0.2127920264050514,4,0.3104723182063903,2.745691648863138,0.2246592801728502,5,19.0,0.7521495907774534
SYF,-0.0877815330892023,0.38906607626738104,2.2,-0.13360380268010544,-0.23105802451155288,0.2127920264050514,6,-0.07877076339567485,0.8345999842731425,0.1660378599097476,6,39.5,-0.0327922950187138
SYF-PA,-0.0877815330892023,0.38906607626738104,2.2,-0.13360380268010544,-0.23105802451155288,0.2127920264050514,6,-0.07877076339567485,0.8345999842731425,0.1660378599097476,7,39.5,-0.0327922950187138
MER.L,-0.09132969529976054,0.26645533422178885,5.1,-0.10687845489201159,1.1986135021536821,-0.1611611168843942,2,-0.05647009727852728,-0.1092240873003193,-0.058497330972662666,8,25.0,0.4684259756828362
DORO.ST,-0.06826664093113378,0.2540774029291931,1.7,-0.10534211964497696,0.7220563265986036,0.2127920264050514,2,-0.022671638815570893,1.1549618853410073,0.22778093899845067,9,74.0,-1.1074832750465242
0DZJ.L,-0.04165542435194983,0.20787743769954284,0.8,-0.09187623497971181,0.7220563265986036,0.2127920264050514,3,-0.05809840018129927,1.3653855449992975,0.29194071550710937,10,38.0,-0.015090728966695343
CFX.L,0.1996196059659898,0.2063632433299833,0.6,-0.06445003442969673,-0.23105802451155288,0.2127920264050514,3,-0.11718402673306161,0.6841662492093223,0.20783673177518697,11,42.0,-0.15761418641009256
0HQ7.L,-0.07713704645752861,0.19065006171854276,1.0,-0.08581478878435239,0.7220563265986036,0.2127920264050514,4,-0.20989987266182242,0.42386026020497125,0.5273877838191997,12,46.5,-0.26757004283509
BKE,-0.07713704645752861,0.19065006171854276,1.0,-0.08581478878435239,0.7220563265986036,0.2127920264050514,4,-0.20989987266182242,0.42386026020497125,0.5273877838191997,13,46.5,-0.26757004283509
RFX.L,0.009792927701139752,0.1739124259092457,0.4,-0.06417659156063699,-0.23105802451155288,-1.2986704996394387,5,-0.10380283509081742,1.8589533786563384,0.207917344719946,14,65.0,-0.7466816044695179
0QNG.L,0.05237087422783551,0.17276287736304383,0.9,-0.077288640074391,1.1986135021536821,0.2127920264050514,3,-0.10997777560985196,0.11862330774293775,0.06041484820546043,15,44.0,-0.22931412081877123
0IJO.L,-0.07358888424697088,0.14935723321519678,2.1,0.14773616081007268,0.24549915104352538,0.2127920264050514,4,-0.27789590220728383,-0.7283004579947739,0.01932327717575545,16,80.5,-1.3910001671824523
EXEL,-0.07358888424697088,0.14935723321519678,2.1,0.14773616081007268,0.24549915104352538,0.2127920264050514,4,-0.27789590220728383,-0.7283004579947739,0.01932327717575545,17,80.5,-1.3910001671824523
HNNAZ,-0.07536296535224975,0.11587973890416976,1.3,-0.08757650541785833,-0.23105802451155288,-0.08533210790109574,6,-0.06419442852730174,0.1801723176908381,0.0160532483841945,18,67.0,-0.8208013877523594
SAFT,-0.08245928977336571,0.10351797568628893,4.0,-0.10987181010062781,1.1986135021536821,0.008331504360016544,5,-0.16871464185787993,-0.1783049812051538,0.04027328598227374,19,56.0,-0.5477706810156039
HNNA,-0.07536296535224975,0.10262704054705196,1.6,-0.08757650541785833,-0.23105802451155288,-0.21785909147227375,6,-0.06419442852730174,0.1801723176908381,0.0160532483841945,20,66.0,-0.7994668737742688
SNA,0.015115171016977354,0.0974709985028524,1.5,-0.07112821607973667,0.7220563265986036,0.2127920264050514,6,-0.22203113640268865,-0.14385151237980515,0.15696129789004598,21,52.5,-0.43211846143020316
