,Bottom 50%,Top 50-25%,Top 25-10%,Top 10-5%,Top 5-1%,Top 1%,Top 100
Bottom 50%,1.0,0.009666348667264554,0.00812977952949938,0.006745156961444298,0.0071016802199850015,0.006658532478852297,0.00888821701166573
Top 50-25%,103.45167905918154,1.0,0.8410393427076738,0.6977978131791397,0.7346807428988262,0.6888363650073643,0.9195009736992008
Top 25-10%,123.00456566767176,1.1890050194091542,1.0,0.8296851024027283,0.8735390909699506,0.8190298955453126,1.0932912730799544
Top 10-5%,148.2545188668043,1.4330798708640815,1.2052765526391251,1.0,1.0528561841597774,0.9871575290112371,1.317718336648248
Top 5-1%,140.81174722368897,1.3611354451108995,1.144768460092188,0.9497973370390005,1.0,0.9375995922928728,1.251565367115967
Top 1%,150.1832428055327,1.4517235889387299,1.2209566530342546,1.013009545702018,1.0665533648052563,1.0,1.3348612535712605
Top 100,112.50850408889725,1.0875464285556407,0.9146693334365142,0.7588875195769096,0.7989994180682234,0.7491415286230089,1.0
