source,RoA,earnYield,grahamNumberToPrice,bVpRatio,revenueGrowth,incomeQuality,returnOnEquity,returnOnCapitalEmployed,currentRatio,grossProfitMargin,freeCashFlowYield,freeCashFlowPerShareGrowth,DcfToPrice,marketCapRevQuants,Altman-Z,Piotroski,tbVpRatio,BoScore,EPStoEPSmean,priceGrowth,CycleHeat,AggScore,rankOfRanks,moatScore,total_return
ENVA,-0.14667206164998184,1.9858417418016898,0.03681440512673728,-0.0029247224932777696,-0.6486838409571524,0.7483140422361706,0.19655093722926037,0.10376979169572284,0.2983872367773594,0.37194237169440086,5.5479594535375005,0.01622088977576234,0.0,0.07581524134151478,-0.10185059308162839,-1.6607295511767879,-0.10863285776950411,0.17300838938680482,-0.1450565897624929,0.07809415674406787,0.2127920264050514,0.7030960466861219,0.2,4,1.9994787594474859
GSL,-0.16913076772360283,3.405137704635229,0.6713382280605944,0.33804762110044795,-0.7078754854292744,0.29890492430408544,0.18374239371893492,0.0934044109812989,-0.1436580255386833,-0.06437886661443702,0.2731980655390014,-0.3368656205025883,0.059556776006258125,0.2988012452871465,-0.12148040308612597,0.24549915104352538,1.0973502354084275,-0.08068520866808684,0.8522926921673322,-0.2131441968597422,0.2127920264050514,0.6192846900234793,1.1,4,1.2606680984995837
GSL-PB,-0.16913076772360283,3.405137704635229,0.6713382280605944,0.33804762110044795,-0.7078754854292744,0.29890492430408544,0.18374239371893492,0.0934044109812989,-0.1436580255386833,-0.06437886661443702,0.2731980655390014,-0.3368656205025883,0.059556776006258125,0.2988012452871465,-0.12148040308612597,0.24549915104352538,1.0973502354084275,-0.08068520866808684,0.8522926921673322,-0.2131441968597422,0.2127920264050514,0.6192846900234793,1.1,4,1.2606680984995837
SBOK.ST,-0.24077590125866039,0.8019001430942214,0.020269391047554524,0.18811474506042675,0.0268557858537771,0.2716427022490938,0.04249714859415772,0.07399486352147769,-0.0876018808847408,-0.13100789799855625,1.1380230883042504,0.5938728494889856,0.4001245546225882,0.2988012452871465,-0.10279264917001754,1.1986135021536821,0.13273469985018288,-0.059396235404739976,0.20723463954917434,0.07733336114172412,0.2127920264050514,0.5063230181506779,0.3,3,0.5122242348674069
SLP.L,0.5110388442268504,2.745691648863138,0.3104723182063903,0.29593710714110394,-0.39193488736422005,0.4853082288866973,0.2246592801728502,0.1974809757734245,0.036248281343426704,-0.5734322890373106,1.0222399092509187,-0.015074247430217947,-0.19533763304318683,0.2988012452871465,-0.10015598067840026,-0.7076152000666311,0.5485823688790775,-0.004399721141091663,-0.1450565897624929,0.11479046522016764,0.2127920264050514,0.48710361511326916,0.1,4,-0.05333858903851402
SYF,-0.45744772173568893,0.8345999842731425,-0.07877076339567485,-0.028422326793363106,0.03161815918484137,0.7554644216326706,0.1660378599097476,0.07298069444514775,-0.16599818297399174,0.31038696272640126,2.6121901412401862,-0.037572446261505445,0.0,-0.37015676654974866,-0.13360380268010544,-0.23105802451155288,-0.07444974485466826,-0.0877815330892023,0.515003722368966,0.04484810333315652,0.2127920264050514,0.38906607626738104,2.2,6,1.2368005797763695
SYF-PA,-0.45744772173568893,0.8345999842731425,-0.07877076339567485,-0.028422326793363106,0.03161815918484137,0.7554644216326706,0.1660378599097476,0.07298069444514775,-0.16599818297399174,0.31038696272640126,2.6121901412401862,-0.037572446261505445,0.0,-0.37015676654974866,-0.13360380268010544,-0.23105802451155288,-0.07444974485466826,-0.0877815330892023,0.515003722368966,0.04484810333315652,0.2127920264050514,0.38906607626738104,2.2,6,1.2368005797763695
MER.L,-0.41895786015012865,-0.1092240873003193,-0.05647009727852728,-0.05413597156306561,-0.21663222575635882,-0.09287610795510547,-0.058497330972662666,0.11449904798465464,-0.1420220951601724,-0.9573652996632125,4.0628125308004,0.05649527921530089,0.0,0.07581524134151478,-0.10687845489201159,1.1986135021536821,-0.2987172096039478,-0.09132969529976054,-0.1450565897624929,0.0656418829644963,-0.1611611168843942,0.26645533422178885,5.1,2,0.9902289323943787
DORO.ST,-0.03185554116045895,1.1549618853410073,-0.022671638815570893,0.09942048844142475,-1.0665605870880364,0.29858892639522866,0.22778093899845067,0.0685795124823618,-0.12194050624758297,-0.4641325210392583,0.18342432717183865,1.3891340795176759,0.3286942703892426,0.07581524134151478,-0.10534211964497696,0.7220563265986036,-0.23853632286366508,-0.06826664093113378,-0.1450565897624929,0.04388847376270754,0.2127920264050514,0.2540774029291931,1.7,2,1.7477290946117043
0DZJ.L,-0.013933683847703554,1.3653855449992975,-0.05809840018129927,-0.05713570229115402,0.21221799505481942,-0.0545816233528327,0.29194071550710937,0.2044257328383813,-0.1342032116194449,-1.4265232308071916,0.939355549923198,-0.047078178834751634,0.0,0.07581524134151478,-0.09187623497971181,0.7220563265986036,-0.2141342023446531,-0.04165542435194983,0.11849754866884427,0.07550758826930146,0.2127920264050514,0.20787743769954284,0.8,3,0.2377801199466575
