metric,coefficient,abs_coef
mSalesToMarketCap,0.3612863363900974,0.3612863363900974
dSalesToAssets,-0.2967096344417819,0.2967096344417819
dGrossProfitToAssets,0.24358121607402752,0.24358121607402752
dFreeCashFlowToEquity,-0.2142357841797011,0.2142357841797011
returnOnAssets,0.1891499524171269,0.1891499524171269
dReturnOnAssets,-0.1694296428910716,0.1694296428910716
dReturnOnCapitalEmployed,0.13213478638662066,0.13213478638662066
grahamNetNet,0.06744882453539418,0.06744882453539418
mNetProfitMargin,0.06720154541917893,0.06720154541917893
dCFOtoMarketCap,0.0605372561801935,0.0605372561801935
uGrahamNumberToPrice,0.04760873188701732,0.04760873188701732
dGrossProfitMargin,-0.04675741797834653,0.04675741797834653
dReturnOnTangibleAssets,0.0398086840956339,0.0398086840956339
mPbRatio,-0.03350673159226503,0.03350673159226503
CFO,0.02834402688728402,0.02834402688728402
dGrossProfit,-0.023090942863448913,0.023090942863448913
dPbRatio,0.02012333053843678,0.02012333053843678
mGrossProfitMargin,-0.014677629617964785,0.014677629617964785
capitalExpenditureCoverageRatio,-0.013641122040734711,0.013641122040734711
mEarningsYield,0.011541767778345348,0.011541767778345348
mPfcfRatio,0.009674193740237704,0.009674193740237704
dAssetsToLongTermLiabilities,0.007898943650585532,0.007898943650585532
PEG,0.007613020615941041,0.007613020615941041
mEquityToAssets,0.007528505669269235,0.007528505669269235
dEPS,-0.005237201067165345,0.005237201067165345
dNetIncomePerShare,-0.0052372010671525885,0.0052372010671525885
dRevenue,0.004727825206369972,0.004727825206369972
returnOnEquity,0.004508956706282611,0.004508956706282611
dSharesOutstanding,-0.004222114855103393,0.004222114855103393
dEffectiveTaxRate,-0.003924944902687802,0.003924944902687802
dSalesToInventory,0.003838366725192518,0.003838366725192518
mDebtEquityRatio,0.0031749352263108557,0.0031749352263108557
dCurrentRatio,-0.0029205912798183887,0.0029205912798183887
uIncomeQuality,-0.002221198011284993,0.002221198011284993
uNetDebtToEBITDA,-0.0005254217238283782,0.0005254217238283782
uCurrentRatio,-0.00046639391552970365,0.00046639391552970365
