source,date,price,marketCap,prev_price,prev_mcap,removal_reason
0I50.L,2021-04-01,-3.2370403075597918,145903552836.0,16.311141281334702,149036535275.28,negative_price (-3.2370)
0I50.L,2022-04-01,-3.0822397537759763,98878251301.1333,7.217101891257029,99993666487.44385,negative_price (-3.0822)
0IC9.L,2020-04-01,-13.116903997587105,68191200000.00001,34.42388844886324,60509658000.0,negative_price (-13.1169)
0IC9.L,2024-10-01,-25.68980263157895,45888720000.0,14.4475,48485810000.0,negative_price (-25.6898)
0IC9.L,2025-07-01,0.0,0.0,14.118403095321845,48166344000.0,zero_price
0IF4.L,2025-07-01,0.0,0.0,1.4124999999999999,457085000.0,zero_price
0IFK.L,2020-07-01,-2.184638471400049,1637136218.1599998,3.055409397235458,1082523547.02,negative_price (-2.1846)
0IFK.L,2020-10-01,-56.055577415297826,1743763951.08,3.055409397235458,1082523547.02,negative_price (-56.0556)
0IK3.L,2019-10-01,-236.29261981320434,12946654000.0,,,negative_price (-236.2926)
0IL8.L,2020-07-01,-96.79799530213556,90636225750.0,233.23786436473623,76640256250.0,negative_price (-96.7980)
0IL8.L,2020-10-01,-454.4047201480329,93093624000.0,233.23786436473623,76640256250.0,negative_price (-454.4047)
0IL8.L,2021-07-01,-61.61247323957393,61432747000.0,402.5057658570643,79562262000.0,negative_price (-61.6125)
0IL8.L,2021-10-01,-171.8893548337886,23670542000.0,402.5057658570643,79562262000.0,negative_price (-171.8894)
0IL8.L,2024-10-01,-65.51414022764358,1004144850.0,131.3377196643731,1921823750.0,negative_price (-65.5141)
0IL8.L,2025-01-01,0.8528656220920353,1334989200.0,131.3377196643731,1921823750.0,price_mcap_mismatch (price 0.0065x but mcap 0.69x)
0IL8.L,2025-04-01,-79.31029243199691,782393500.0,131.3377196643731,1921823750.0,negative_price (-79.3103)
0IL8.L,2025-07-01,-34.94820792797055,21422600.0,131.3377196643731,1921823750.0,negative_price (-34.9482)
0IMT.L,2019-10-01,-695.837905036865,1124639978.7,,,negative_price (-695.8379)
0IMT.L,2020-01-01,-11.460211822603227,2407550000.0,,,negative_price (-11.4602)
0IMT.L,2020-10-01,-39.84883216830067,2574329919.2999997,10.816215806378482,1643688586.367568,negative_price (-39.8488)
0IMT.L,2021-04-01,-23.85964883966245,3619031536.0,39.653412204363406,2846419288.59626,negative_price (-23.8596)
0IMT.L,2023-04-01,-5.553660265770182,1638539471.205698,14.579115099527556,2894888627.717094,negative_price (-5.5537)
0IMT.L,2023-07-01,-12.966805845511482,1265836096.6000001,14.579115099527556,2894888627.717094,negative_price (-12.9668)
0IMT.L,2023-10-01,-37.035254803675855,1458286552.3999999,14.579115099527556,2894888627.717094,negative_price (-37.0353)
0IMT.L,2024-01-01,-10.08264942354369,1826924045.2,14.579115099527556,2894888627.717094,negative_price (-10.0826)
