source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
KIN2.DE,ejected_below_floor,109894.3309692,2026-08-21|EUR,1000000.0
SBI.TO,ejected_below_floor,145397.11032,2026-08-21|CAD,1000000.0
0J3H.L,ejected_below_floor,213985.19999999998,2026-08-21|USD,1000000.0
0VOA.L,ejected_below_floor,53271.77538059999,2026-08-21|CAD,1000000.0
HFF.DE,ejected_below_floor,4614.2117808,2026-08-21|EUR,1000000.0
GMR.L,ejected_below_floor,117071.98824191999,2026-08-21|GBp,1000000.0
0LJL.L,ejected_below_floor,139234.94,2026-08-21|USD,1000000.0
0QYM.L,ejected_below_floor,460294.04675519996,2026-08-21|CAD,1000000.0
CFX.L,ejected_below_floor,95716.545984,2026-08-21|GBp,1000000.0
216050.KQ,ejected_below_floor,136897.49782524,2026-08-21|KRW,1000000.0
234080.KS,ejected_below_floor,270027.947933498,2026-08-21|KRW,1000000.0
0JSU.L,ejected_below_floor,8443.871244,2026-08-21|EUR,1000000.0
001065.KS,ejected_below_floor,5188.3641873,2026-08-21|KRW,1000000.0
001067.KS,ejected_below_floor,2546.837046,2026-08-21|KRW,1000000.0
0HQU.L,ejected_below_floor,321226.80000000005,2026-08-21|USD,1000000.0
0VCO.L,ejected_below_floor,23763.440042999995,2026-08-21|CAD,1000000.0
ALNTG.PA,ejected_below_floor,20189.740558679998,2026-08-21|EUR,1000000.0
PA9.DE,ejected_below_floor,3612.4598100000003,2026-08-21|EUR,1000000.0
MOUR.BR,ejected_below_floor,43745.9436,2026-08-21|EUR,1000000.0
LOUP.PA,ejected_below_floor,685652.6381760001,2026-08-21|EUR,1000000.0
PRU.TO,ejected_below_floor,145089.3684996,2026-08-21|CAD,1000000.0
007700.KS,ejected_below_floor,248284.983316386,2026-08-21|KRW,1000000.0
EIN.DE,ejected_below_floor,295090.615608,2026-08-21|EUR,1000000.0
092730.KQ,ejected_below_floor,985803.67119927,2026-08-21|KRW,1000000.0
028100.KS,ejected_below_floor,453876.69145148,2026-08-21|KRW,1000000.0
EMBELL.ST,ejected_below_floor,36998.30592,2026-08-21|SEK,1000000.0
0EAQ.L,ejected_below_floor,121281.8106,2026-08-21|USD,1000000.0
SNFCA,ejected_below_floor,322424.775,2026-08-21|USD,1000000.0
0VL5.L,ejected_below_floor,23893.209043199997,2026-08-21|CAD,1000000.0
0RJ6.L,ejected_below_floor,7700.630676,2026-08-21|EUR,1000000.0
SFE.DE,ejected_below_floor,157.5966744,2026-08-21|EUR,1000000.0
SEA1.OL,ejected_below_floor,490149.42568600003,2026-08-21|NOK,1000000.0
LNF.TO,ejected_below_floor,461962.6039979999,2026-08-21|CAD,1000000.0
0KAN.L,ejected_below_floor,18234.2,2026-08-21|USD,1000000.0
DBO.TO,ejected_below_floor,657430.7056884,2026-08-21|CAD,1000000.0
HCL.DE,ejected_below_floor,416448.7252632,2026-08-21|EUR,1000000.0
0QQF.L,ejected_below_floor,8395.975722,2026-08-21|CHF,1000000.0
0KGH.L,ejected_below_floor,92057.72,2026-08-21|USD,1000000.0
268280.KS,ejected_below_floor,321878.40836544,2026-08-21|KRW,1000000.0
033270.KS,ejected_below_floor,391408.431095034,2026-08-21|KRW,1000000.0
FCAP,ejected_below_floor,727450.96,2026-08-21|USD,1000000.0
XLY.TO,ejected_below_floor,212445.13455899997,2026-08-21|CAD,1000000.0
0AHJ.L,ejected_below_floor,94833.0802062,2026-08-21|CAD,1000000.0
TCL-B.TO,ejected_below_floor,5842.950498,2026-08-21|CAD,1000000.0
032850.KQ,ejected_below_floor,179174.66627127,2026-08-21|KRW,1000000.0
PES.DE,ejected_below_floor,5679.7396344,2026-08-21|EUR,1000000.0
RTC.L,ejected_below_floor,10909.432578,2026-08-21|GBp,1000000.0
TWC.TO,ejected_below_floor,35440.8586056,2026-08-21|CAD,1000000.0
069730.KS,ejected_below_floor,245629.22726498,2026-08-21|KRW,1000000.0
0IWV.L,ejected_below_floor,29680.938840000003,2026-08-21|EUR,1000000.0
ERIC-A.ST,ejected_below_floor,333462.61392000003,2026-08-21|SEK,1000000.0
ITU.DE,ejected_below_floor,740370.5373600001,2026-08-21|EUR,1000000.0
NRG.PA,ejected_below_floor,67915.17174,2026-08-21|EUR,1000000.0
0R0A.L,ejected_below_floor,770762.75,2026-08-21|USD,1000000.0
0KNY.L,ejected_below_floor,308863.05,2026-08-21|USD,1000000.0
M12.DE,ejected_below_floor,110987.886828,2026-08-21|EUR,1000000.0
UNP.DE,ejected_below_floor,38769.060096,2026-08-21|EUR,1000000.0
0GX2.L,ejected_below_floor,54194.895216000004,2026-08-21|EUR,1000000.0
ERCG.DE,ejected_below_floor,3479.0891616000004,2026-08-21|EUR,1000000.0
CDM1.DE,ejected_below_floor,297798.0362931,2026-08-21|EUR,1000000.0
VAN.BR,ejected_below_floor,81039.88213200001,2026-08-21|EUR,1000000.0
OPLN,kept_no_reading,,no-reading,1000000.0
ERCB.DE,ejected_below_floor,124139.61445512001,2026-08-21|EUR,1000000.0
YCP.DE,ejected_below_floor,110796.0723408,2026-08-21|EUR,1000000.0
CCLD,ejected_below_floor,767354.69,2026-08-21|USD,1000000.0
0QQM.L,ejected_below_floor,9794.1096,2026-08-21|CHF,1000000.0
0GBU.L,ejected_below_floor,27086.65344,2026-08-21|SEK,1000000.0
IVU.DE,ejected_below_floor,298071.923688,2026-08-21|EUR,1000000.0
0QLD.L,ejected_below_floor,238157.12211891596,2026-08-21|CHF,1000000.0
SOBA.DE,ejected_below_floor,194206.15235340002,2026-08-21|EUR,1000000.0
SIP.BR,ejected_below_floor,513128.09520000004,2026-08-21|EUR,1000000.0
007540.KS,ejected_below_floor,176344.95617046,2026-08-21|KRW,1000000.0
043150.KQ,ejected_below_floor,534877.965730044,2026-08-21|KRW,1000000.0
0QNG.L,ejected_below_floor,269043.72363684897,2026-08-21|CHF,1000000.0
NRO.PA,ejected_below_floor,365665.02837899997,2026-08-21|EUR,1000000.0
MED.DE,ejected_below_floor,46068.28059,2026-08-21|EUR,1000000.0
0Q4C.L,ejected_below_floor,519.236763,2026-08-21|EUR,1000000.0
NEDAP.AS,ejected_below_floor,582767.024034,2026-08-21|EUR,1000000.0
0HF6.L,ejected_below_floor,956578.0,2026-08-21|USD,1000000.0
DVD.OL,ejected_below_floor,395815.25934900006,2026-08-21|NOK,1000000.0
EIOF.OL,ejected_below_floor,30728.82806,2026-08-21|NOK,1000000.0
0JPO.L,ejected_below_floor,820399.9500000001,2026-08-21|USD,1000000.0
KLA.DE,ejected_below_floor,609232.0216752001,2026-08-21|EUR,1000000.0
0I4T.L,ejected_below_floor,6102.99,2026-08-21|USD,1000000.0
GSC1.DE,ejected_below_floor,53655.54737400001,2026-08-21|EUR,1000000.0
0NNU.L,ejected_below_floor,9425.199168000001,2026-08-21|EUR,1000000.0
ALTPC.PA,ejected_below_floor,89800.89408,2026-08-21|EUR,1000000.0
ALTN.L,ejected_below_floor,940557.076008,2026-08-21|GBp,1000000.0
AZ2.DE,ejected_below_floor,44019.500640000006,2026-08-21|EUR,1000000.0
0RR8.L,ejected_below_floor,396635.736,2026-08-21|USD,1000000.0
68V.DE,ejected_below_floor,110550.13760700001,2026-08-21|EUR,1000000.0
FDBC,ejected_below_floor,698369.86,2026-08-21|USD,1000000.0
053580.KQ,ejected_below_floor,172091.752815532,2026-08-21|KRW,1000000.0
ANTIN.PA,ejected_below_floor,407904.7506888,2026-08-21|EUR,1000000.0
HYDRA.AS,ejected_below_floor,42563.620800000004,2026-08-21|EUR,1000000.0
120030.KS,ejected_below_floor,58630.800939479996,2026-08-21|KRW,1000000.0
PZA.TO,ejected_below_floor,653690.851884,2026-08-21|CAD,1000000.0
078520.KS,ejected_below_floor,864743.83554742,2026-08-21|KRW,1000000.0
BOI.PA,ejected_below_floor,66043.508382,2026-08-21|EUR,1000000.0
0QKP.L,ejected_below_floor,10783.4136,2026-08-21|CHF,1000000.0
0DTF.L,ejected_below_floor,32775.26307,2026-08-21|EUR,1000000.0
0NCA.L,ejected_below_floor,16310.490768000001,2026-08-21|EUR,1000000.0
0QZ5.L,ejected_below_floor,430008.0,2026-08-21|USD,1000000.0
MULT.DE,ejected_below_floor,63026.9508546,2026-08-21|EUR,1000000.0
ALPM.PA,ejected_below_floor,122898.629898,2026-08-21|EUR,1000000.0
AMG.DE,ejected_below_floor,181961.391501,2026-08-21|EUR,1000000.0
0QYZ.L,ejected_below_floor,235821.8360736,2026-08-21|CAD,1000000.0
ALLUX.PA,ejected_below_floor,109369.49556000001,2026-08-21|EUR,1000000.0
BVFL,ejected_below_floor,437653.44000000006,2026-08-21|USD,1000000.0
036800.KQ,ejected_below_floor,575194.091418492,2026-08-21|KRW,1000000.0
009180.KS,ejected_below_floor,142840.15387896998,2026-08-21|KRW,1000000.0
200670.KQ,ejected_below_floor,585511.23396454,2026-08-21|KRW,1000000.0
CXI.TO,ejected_below_floor,100793.85666840001,2026-08-21|CAD,1000000.0
