criterion,constant,n_observed,n_pass,pass_rate,breach,proposed_constant,breach_streak,advisory,streak_participant
mBookToPrice,0.5,39609,21393,0.5401045216996138,0,,0,1,1
mEarningsYield,0.01,39624,18399,0.4643397940642035,0,,0,1,1
mDebtEquityRatio,0.5,37701,18559,0.49226810959921485,0,,0,1,1
mFreeCashFlowToMarketCap,0.0075,39558,19450,0.4916830982355023,0,,0,1,1
mEquityToAssets,0.4,39545,21388,0.5408521937033759,0,,0,1,1
mGrossProfitMargin,0.4,39624,17911,0.4520240258429235,0,,0,1,1
mNetProfitMargin,0.05,39624,18757,0.4733747223904704,0,,0,1,1
