as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,REIT,21,EPRT,"Essential Properties Realty Trust, Inc.",-3.803000666117153
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,1,SLP.L,Sylvania Platinum Ltd,12.655487237305115
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,2,LUG.TO,Lundin Gold Inc.,3.1784246582974367
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,3,FRES.L,Fresnillo plc,1.2299272275647553
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,4,SRB.L,Serabi Gold plc,1.212862878094301
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,5,TFPM.TO,Triple Flag Precious Metals Corp.,0.3227695542725595
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,6,DPM.TO,DPM Metals Inc.,0.037856639550163995
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,7,AU,AngloGold Ashanti plc,-0.20072222131843748
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,8,KGC,Kinross Gold Corporation,-0.552776630214764
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,9,FSM,Fortuna Mining Corp.,-0.7220756931020118
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,10,EGO,Eldorado Gold Corporation,-0.7248213365576248
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,11,GFI,Gold Fields Limited,-0.9316605316266182
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,12,TXG.TO,Torex Gold Resources Inc.,-1.1472185263115904
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,13,WDO.TO,Wesdome Gold Mines Ltd.,-1.625353651549667
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,14,MSA.TO,Mineros S.A.,-1.6386204411300231
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,15,KNT.TO,K92 Mining Inc.,-1.75514835593203
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,16,BVN,Compañía de Minas Buenaventura S.A.A.,-2.3694627455973274
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,17,AEM,Agnico Eagle Mines Limited,-2.666622990700879
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,18,NEM,Newmont Corporation,-2.8903357842573816
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,19,B,Barrick Mining Corporation,-3.1408378961395136
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,20,ASM.TO,Avino Silver & Gold Mines Ltd.,-4.784280789180156
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,21,PAAS,Pan American Silver Corp.,-5.43027783079036
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,MINING,22,IAG,Iamgold Corporation,-7.42146106185336
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,1,CGI.L,"Canadian General Investments, Limited",0.7709038889897211
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,2,CGI.TO,"Canadian General Investments, Limited",0.35123736990564025
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,3,HVPE.L,HarbourVest Global Private Equity Limited,0.273658149581615
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,4,LIV.L,Livermore Investments Group Limited,0.20047270983962562
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,5,ONEX.TO,Onex Corporation,0.1759272455123445
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,6,BPCR.L,BioPharma Credit PLC,0.006663641751179172
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,7,III.L,3i Group plc,-0.24369928936749785
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,8,MPV,Barings Participation Investors,-0.4519226561236894
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,9,AAS.L,abrdn Asia Focus plc,-0.5487159710580767
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,10,BBDC,"Barings BDC, Inc.",-0.5972138060242895
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,11,JGGI.L,JPMorgan Global Growth & Income plc,-0.6125325091443437
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,12,CLDN.L,Caledonia Investments plc,-0.6690115652861406
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,13,TY,Tri-Continental Corporation,-0.6714414634549852
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,14,GROW,"U.S. Global Investors, Inc.",-0.7590129425022468
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,15,GCP.L,GCP Infrastructure Investments Limited,-0.7597875325451378
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,16,FAS.L,Fidelity Asian Values PLC,-0.8469946865500744
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,17,SOR,"Source Capital, Inc.",-0.8553941581571051
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,18,SAIN.L,The Scottish American Investment Company PLC,-0.9150363264329122
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,19,CVG.TO,Clairvest Group Inc.,-0.9162950448008564
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN1,20,CYB.TO,Cymbria Corporation,-0.9886936327090111
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,1,PLUS.L,Plus500 Ltd.,8.792553019966487
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,2,POLR.L,Polar Capital Holdings plc,8.426682333085548
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,3,ASHM.L,Ashmore Group PLC,2.5080494226933907
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,4,AJB.L,AJ Bell plc,2.349093120523351
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,5,BRK.L,Brooks Macdonald Group plc,2.1352519165422663
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,6,CLIG.L,City of London Investment Group PLC,1.9324263325699236
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,7,EMG.L,Man Group plc,0.7558130597691161
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,8,TCAP.L,TP ICAP Group plc,0.40371454602366097
2026-07-16,2026-07-16T04:38:27.901831,a55fc7b-dirty,FIN2,9,DWS.DE,DWS Group GmbH & Co. KGaA,-0.44860370079258816
