dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
000660.KS,SKHY,SK hynix Inc.,Technology,Technology,000660.KS|SKHY,,2650000.0,713481000.0,1890724650000000.0,shares,0,0,0,0,5830192.0,2026-08-19,42069700.0,2026-08-19
SBI.TO,SRB.L,Serabi Gold plc,Basic Materials,Basic Materials,SBI.TO|SRB.L,,3.7009,75735000.0,280285540.92,symbol_length,0,0,0,0,34081.0,2026-08-19,269910.0,2026-08-19
AEM.TO,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,0R2J.L|AEM|AEM.TO,,155.13,501659000.0,77822360670.0,punctuation,0,0,0,0,1101385.0,2026-08-19,2811970.0,2026-08-19
0R2J.L,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,0R2J.L|AEM|AEM.TO,lse-iob,155.13,501659000.0,77822360670.0,canonicity,1,0,0,0,8013.0,2026-08-19,2811970.0,2026-08-19
K.TO,KGC,Kinross Gold Corporation,Basic Materials,Basic Materials,K.TO|KGC,,23.62,1191629000.0,28146276980.0,punctuation,0,0,0,0,3438244.0,2026-08-19,8306532.0,2026-08-19
0VOA.L,WDO.TO,Wesdome Gold Mines Ltd.,Basic Materials,Basic Materials,0VOA.L|WDO.TO,lse-iob,24.35,147584000.0,3593670400.0,canonicity,1,0,0,0,2121.0,2026-08-19,660903.0,2026-08-19
ABX.TO,B,Barrick Gold Corporation,Basic Materials,Basic Materials,ABX.TO|B,,36.7136,1666000000.0,61164857600.0,punctuation,0,0,0,0,4742352.0,2026-08-19,10913606.0,2026-08-19
SU.TO,SU,Suncor Energy Inc.,Energy,Energy,SU|SU.TO,,76.3,1179000000.0,89957700000.0,punctuation,0,0,0,0,5802434.0,2026-08-19,4606862.0,2026-08-19
0LJL.L,UHS,"Universal Health Services, Inc.",Healthcare,Healthcare,0LJL.L|UHS,lse-iob,148.6526,59657000.0,8868168980.0,canonicity,1,0,0,0,793.0,2026-08-19,1023472.0,2026-08-19
PAAS,PAAS.TO,Pan American Silver Corp.,Basic Materials,Basic Materials,0R07.L|PAAS|PAAS.TO,,44.79,420271000.0,18823938090.0,shares,0,0,0,0,4438438.0,2026-08-19,915389.0,2026-08-19
0R07.L,PAAS.TO,Pan American Silver Corp.,Basic Materials,Basic Materials,0R07.L|PAAS|PAAS.TO,lse-iob,44.583,422222222.0,18823938090.0,canonicity,1,0,0,0,20151.0,2026-08-19,915389.0,2026-08-19
0QYM.L,FSM,Fortuna Mining Corp.,Basic Materials,Basic Materials,0QYM.L|FSM|FVI.TO,lse-iob,8.45,301010000.0,2543534500.0,canonicity,1,0,0,0,38704.0,2026-08-19,5197395.0,2026-08-19
FVI.TO,FSM,Fortuna Mining Corp.,Basic Materials,Basic Materials,0QYM.L|FSM|FVI.TO,,8.45,301010000.0,2543534500.0,punctuation,0,0,0,0,750193.0,2026-08-19,5197395.0,2026-08-19
