dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
0HSU.L,CWH,"Camping World Holdings, Inc.",Consumer Cyclical,Consumer Cyclical,0HSU.L|CWH,lse-iob,7.63,63668000.0,485786840.0,canonicity,1,0,0,0,311.0,2026-08-13,2389438.0,2026-08-13
ATS.TO,ATS,ATS Corporation,Industrials,Industrials,ATS|ATS.TO,,40.88,98116984.0,4011022305.92,punctuation,0,0,0,0,383946.0,2026-08-13,204546.0,2026-08-13
003075.KS,003070.KS,Kolon Global Corporation,Industrials,Industrials,003070.KS|003075.KS,korea-preferred,10560.0,26165000.0,276302400000.0,canonicity,1,0,0,0,1907.0,2026-08-13,40926.0,2026-08-13
GFL.TO,GFL,GFL Environmental Inc.,Industrials,Industrials,GFL|GFL.TO,,52.15,361371647.0,18845531391.05,punctuation,0,0,0,0,768920.0,2026-08-13,2818162.0,2026-08-13
TXP.TO,TXP.L,Touchstone Exploration Inc.,Energy,Energy,TXP.L|TXP.TO,,0.1223,324733609.0,39702239.5333,symbol_length,0,0,0,0,197995.0,2026-08-13,385324.0,2026-08-13
0JX5.L,MAC,The Macerich Company,Real Estate,Real Estate,0JX5.L|MAC,lse-iob,25.19,273715000.0,6894880850.0,canonicity,1,0,0,0,1996.0,2026-08-13,3794688.0,2026-08-13
TA.TO,TAC,TransAlta Corporation,Utilities,Utilities,TA.TO|TAC,,19.62,302000000.0,5925240000.0,punctuation,0,0,0,0,1928695.0,2026-08-13,1692822.0,2026-08-13
0K3W.L,MYGN,"Myriad Genetics, Inc.",Healthcare,Healthcare,0K3W.L|MYGN,lse-iob,5.71,94800000.0,541308000.0,canonicity,1,0,0,0,237.0,2026-08-13,1931569.0,2026-08-13
0HK4.L,CAR,"Avis Budget Group, Inc.",Financial Services,Industrials,0HK4.L|CAR,lse-iob,147.83,35300000.0,5218399000.0,canonicity,1,0,0,0,857.0,2026-08-13,718301.0,2026-08-13
0UU0.L,EFR.TO,Energy Fuels Inc.,Energy,Energy,0UU0.L|EFR.TO,lse-iob,13.5335,249323000.0,3374215975.0,canonicity,1,0,0,0,20865.0,2026-08-13,734158.0,2026-08-13
BMNP,BMNR,"Bitmine Immersion Technologies, Inc.",Financial Services,Financial Services,BMNP|BMNR,,18.85,551788656.0,10401216165.6,volavg,1,0,0,0,63743.0,2026-08-13,36452209.0,2026-08-13
002025.KS,002020.KS,Kolon Corporation,Industrials,Industrials,002020.KS|002025.KS,korea-preferred,63000.0,14057000.0,885591000000.0,canonicity,1,0,0,0,6688.0,2026-08-13,111030.0,2026-08-13
TSAT.TO,TSAT,Telesat Corporation,Communication Services,Communication Services,TSAT|TSAT.TO,,50.3709,14979228.0,754516476.6623,punctuation,0,0,0,0,52317.0,2026-08-13,277211.0,2026-08-13
456040.KS,010060.KS,OCI Company Ltd.,Basic Materials,Basic Materials,010060.KS|456040.KS,,187800.0,1130066000.0,212226394800000.0,volavg_raw,0,0,0,0,71841.0,2026-08-13,354494.0,2026-08-13
ALNOV.PA,NCYT.L,Novacyt S.A.,Healthcare,Healthcare,ALNOV.PA|NCYT.L,,0.391,70626248.0,27614862.968,symbol_length,0,0,0,0,743841.0,2026-08-13,237381.0,2026-08-13
0P07.L,FF.TO,First Mining Gold Corp.,Basic Materials,Basic Materials,0P07.L|FF.TO,lse-iob,0.62,1386727279.0,859770912.98,canonicity,1,0,0,0,24200.0,2026-08-13,3460708.0,2026-08-13
BEPC.TO,BEPC,Brookfield Renewable Corporation,Utilities,Utilities,BEPC|BEPC.TO,,37.12,182381589.0,6770004583.68,punctuation,0,0,0,0,348625.0,2026-08-13,1602509.0,2026-08-13
FRX.TO,FENC,Fennec Pharmaceuticals Inc.,Healthcare,Healthcare,FENC|FRX.TO,,6.15,34336000.0,211166400.0,punctuation,1,0,0,0,990.0,2026-08-13,282574.0,2026-08-13
0IV3.L,GERN,Geron Corporation,Healthcare,Healthcare,0IV3.L|GERN,lse-iob,1.28,670696000.0,858490880.0,canonicity,1,0,0,0,12482.0,2026-08-13,12376538.0,2026-08-13
0QW7.L,VLTSA.PA,Voltalia S.A.,Utilities,Utilities,0QW7.L|VLTSA.PA,lse-iob,7.79,131325000.0,1023021750.0,canonicity,1,0,0,0,10050.0,2026-08-13,118137.0,2026-08-13
0DO7.L,AVT.PA,Avenir Telecom S.A.,Technology,Technology,0DO7.L|AVT.PA,lse-iob,0.0872,73880366.0,6442367.9152,canonicity,1,0,0,0,3612.0,2026-08-13,273771.0,2026-08-13
0J4V.L,HRTX,"Heron Therapeutics, Inc.",Healthcare,Healthcare,0J4V.L|HRTX,lse-iob,0.4268,190335000.0,81234978.0,canonicity,1,0,0,0,12412.0,2026-08-13,3421043.0,2026-08-13
ALCLS.PA,CLLS,Cellectis S.A.,Healthcare,Healthcare,ALCLS.PA|CLLS,,2.9468,100647451.0,296590364.4046,punctuation,0,0,0,0,207503.0,2026-08-13,32003.0,2026-08-13
BEP-UN.TO,BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities,BEP|BEP-UN.TO,,34.73,300111626.0,10422876770.98,punctuation,0,0,0,0,334034.0,2026-08-13,914311.0,2026-08-13
BBUC.TO,BBUC,Brookfield Business Corporation,Industrials,Industrials,BBUC|BBUC.TO,,29.9732,206200000.0,6180472350.0,shares,0,0,0,0,145483.0,2026-08-13,449416.0,2026-08-13
0UYN.L,GOLD.TO,GoldMining Inc.,Basic Materials,Basic Materials,0UYN.L|GOLD.TO,lse-iob,1.55,214106198.0,331864606.9,canonicity,1,0,0,0,12472.0,2026-08-13,417379.0,2026-08-13
PRN.TO,PROF,Profound Medical Corp.,Healthcare,Healthcare,PRN.TO|PROF,,6.6387,36350665.0,241321886.7488,punctuation,0,0,0,0,12309.0,2026-08-13,83332.0,2026-08-13
004545.KS,004540.KS,"KleanNara Co., Ltd.",Basic Materials,Basic Materials,004540.KS|004545.KS,korea-preferred,2025.0,37601000.0,76142025000.0,canonicity,1,0,0,0,4785.0,2026-08-13,358981.0,2026-08-13
0R3M.L,VVY.AS,Vivoryon Therapeutics N.V.,Healthcare,Healthcare,0R3M.L|VVY.AS,lse-iob,1.08,29614327.0,31983473.16,canonicity,1,0,0,0,3012.0,2026-08-13,61791.0,2026-08-13
VALN,VLA.PA,Valneva SE,Healthcare,Healthcare,0OB3.L|VALN|VLA.PA,,5.64,86044589.0,485291481.96,shares,1,0,-1,-2,29019.0,2026-08-13,558075.0,2026-08-13
0OB3.L,VLA.PA,Valneva SE,Healthcare,Healthcare,0OB3.L|VALN|VLA.PA,lse-iob,2.82,172089178.0,485291481.96,canonicity,0,0,-2,-2,61823.0,2026-08-13,558075.0,2026-08-13
DBVT,DBV.PA,DBV Technologies S.A.,Healthcare,Healthcare,DBV.PA|DBVT,,16.3015,85660570.0,1396395083.1465,shares,0,0,0,0,316314.0,2026-08-13,961241.0,2026-08-13
0RNP.L,AVTX.AS,Avantium N.V.,Basic Materials,Basic Materials,0RNP.L|AVTX.AS,lse-iob,6.84,21347261.0,146015265.24,canonicity,1,0,0,0,5516.0,2026-08-13,172170.0,2026-08-13
LAC,LAC.TO,Lithium Americas Corp.,Basic Materials,Basic Materials,LAC|LAC.TO,,3.95,243658000.0,962449100.0,shares,0,0,0,0,10495008.0,2026-08-13,1380927.0,2026-08-13
0URY.L,DML.TO,Denison Mines Corp.,Basic Materials,Energy,0URY.L|DML.TO,lse-iob,4.93,903094000.0,4452253420.0,canonicity,1,0,0,0,59757.0,2026-08-13,3214433.0,2026-08-13
ASTL.TO,ASTL,Algoma Steel Group Inc.,Basic Materials,Basic Materials,ASTL|ASTL.TO,,5.7489,109300000.0,628358540.85,punctuation,0,0,0,0,541774.0,2026-08-13,1129895.0,2026-08-13
0KCC.L,IMDX,Insight Molecular Diagnostics Inc.,Healthcare,Healthcare,0KCC.L|IMDX,lse-iob,5.9,36750000.0,216825000.0,canonicity,1,0,0,0,382.0,2026-08-13,254077.0,2026-08-13
SKE.TO,SKE,Skeena Resources Limited,Basic Materials,Basic Materials,SKE|SKE.TO,,41.43,121593641.0,5037624546.63,punctuation,0,0,0,0,390266.0,2026-08-13,793303.0,2026-08-13
TLRY,TLRY.TO,"Tilray Brands, Inc.",Healthcare,Healthcare,TLRY|TLRY.TO,,5.49,111832375.0,613959738.75,shares,0,0,0,0,4012287.0,2026-08-13,505606.0,2026-08-13
LGO.TO,LGO,Largo Inc.,Basic Materials,Basic Materials,LGO|LGO.TO,,1.59,89873000.0,142898070.0,punctuation,0,0,0,0,171029.0,2026-08-13,1561341.0,2026-08-13
CRDL.TO,CRDL,Cardiol Therapeutics Inc.,Healthcare,Healthcare,CRDL|CRDL.TO,,1.89,108987584.0,205986533.76,punctuation,0,0,0,0,77470.0,2026-08-13,627280.0,2026-08-13
EPRX.TO,EPRX,Eupraxia Pharmaceuticals Inc.,Healthcare,Healthcare,EPRX|EPRX.TO,,10.04,56712624.0,569394744.96,punctuation,0,0,0,0,66108.0,2026-08-13,359488.0,2026-08-13
0VNO.L,VGZ.TO,Vista Gold Corp.,Basic Materials,Basic Materials,0VNO.L|VGZ.TO,lse-iob,1.91,145974000.0,278805270.86,canonicity,0,0,0,0,5667.0,2026-08-13,53814.0,2026-08-13
0HH6.L,AQMS,"Aqua Metals, Inc.",Basic Materials,Industrials,0HH6.L|AQMS,lse-iob,2.89,3408273.0,9849908.97,canonicity,1,0,0,0,1981.0,2026-08-13,92690.0,2026-08-13
0Q77.L,AB.PA,AB Science S.A.,Healthcare,Healthcare,0Q77.L|AB.PA,lse-iob,1.54,73126144.0,112614261.76,canonicity,1,0,0,0,5479.0,2026-08-13,443552.0,2026-08-13
SEA.TO,SA,Seabridge Gold Inc.,Basic Materials,Basic Materials,SA|SEA.TO,,39.45,107115005.0,4225686947.25,punctuation,0,0,0,0,119734.0,2026-08-13,791609.0,2026-08-13
IVA.PA,IVA,Inventiva S.A.,Healthcare,Healthcare,0RNK.L|IVA|IVA.PA,,3.95,637084000.0,2516481800.0,shares,0,0,-2,-1,380773.0,2026-08-13,996948.0,2026-08-13
0RNK.L,IVA,Inventiva S.A.,Healthcare,Healthcare,0RNK.L|IVA|IVA.PA,lse-iob,3.95,637084000.0,2516481800.0,canonicity,1,0,-2,-1,1962.0,2026-08-13,996948.0,2026-08-13
0QXX.L,MOLN,Molecular Partners AG,Healthcare,Healthcare,0QXX.L|MOLN,lse-iob,3.12,37502552.0,117007962.24,canonicity,0,0,0,0,6578.0,2026-08-13,5569.0,2026-08-13
0MV8.L,VANTI.PA,Vantiva S.A.,Technology,Technology,0MV8.L|VANTI.PA,lse-iob,0.102,490267000.0,50007234.0,canonicity,0,0,0,0,27802.0,2026-08-13,71566.0,2026-08-13
TC.TO,TCX,Tucows Inc.,Technology,Technology,TC.TO|TCX,,13.47,11148826.0,150174686.22,punctuation,1,0,0,0,4709.0,2026-08-13,65669.0,2026-08-13
PPTA.TO,PPTA,Perpetua Resources Corp.,Basic Materials,Basic Materials,PPTA|PPTA.TO,,28.12,124694794.0,3506417607.28,punctuation,1,0,0,0,127812.0,2026-08-13,1616237.0,2026-08-13
0QAV.L,NBTX,Nanobiotix S.A.,Healthcare,Healthcare,0QAV.L|NANO.PA|NBTX,lse-iob,19.1093,48387950.0,924661510.5,canonicity,1,0,-2,-1,8588.0,2026-08-13,96801.0,2026-08-13
NANO.PA,NBTX,Nanobiotix S.A.,Healthcare,Healthcare,0QAV.L|NANO.PA|NBTX,,19.5,47418539.0,924661510.5,shares,0,0,-2,-1,168891.0,2026-08-13,96801.0,2026-08-13
0V9D.L,NXE,NexGen Energy Ltd.,Energy,Energy,0V9D.L|NXE|NXE.TO,lse-iob,13.32,665698655.0,8867106084.6,canonicity,1,0,0,0,19249.0,2026-08-13,5484240.0,2026-08-13
NXE.TO,NXE,NexGen Energy Ltd.,Energy,Energy,0V9D.L|NXE|NXE.TO,,13.32,665698655.0,8867106084.6,punctuation,0,0,0,0,1589620.0,2026-08-13,5484240.0,2026-08-13
0OCQ.L,TNG.PA,Transgene S.A.,Healthcare,Healthcare,0OCQ.L|TNG.PA,lse-iob,0.96,159344000.0,152970240.0,canonicity,1,0,0,0,520.0,2026-08-13,37952.0,2026-08-13
0IYU.L,AUMN.TO,Golden Minerals Company,Basic Materials,Basic Materials,0IYU.L|AUMN.TO,lse-iob,0.1937,16788213.0,3251876.8581,canonicity,0,0,0,0,8363.0,2026-08-13,17553.0,2026-08-13
BCT.TO,BCTX,BriaCell Therapeutics Corp.,Healthcare,Healthcare,BCT.TO|BCTX,,5.7,7250487.0,41327775.9,punctuation,1,0,0,0,9311.0,2026-08-13,202522.0,2026-08-13
