source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
SIP.BR,ejected_below_floor,515925.8328,2026-08-21|EUR,1000000.0
007540.KS,ejected_below_floor,175495.609254735,2026-08-21|KRW,1000000.0
043150.KQ,ejected_below_floor,532301.782320279,2026-08-21|KRW,1000000.0
NRO.PA,ejected_below_floor,367658.75043099996,2026-08-21|EUR,1000000.0
MED.DE,ejected_below_floor,46319.45951,2026-08-21|EUR,1000000.0
0Q4C.L,ejected_below_floor,522.067807,2026-08-21|EUR,1000000.0
NEDAP.AS,ejected_below_floor,585944.4552259999,2026-08-21|EUR,1000000.0
0HF6.L,ejected_below_floor,956578.0,2026-08-21|USD,1000000.0
DVD.OL,ejected_below_floor,396779.03503200004,2026-08-21|NOK,1000000.0
EIOF.OL,ejected_below_floor,30803.65008,2026-08-21|NOK,1000000.0
0JPO.L,ejected_below_floor,820399.9500000001,2026-08-21|USD,1000000.0
KLA.DE,ejected_below_floor,612553.7484528,2026-08-21|EUR,1000000.0
0I4T.L,ejected_below_floor,6102.99,2026-08-21|USD,1000000.0
GSC1.DE,ejected_below_floor,53948.094486,2026-08-21|EUR,1000000.0
0NNU.L,ejected_below_floor,9476.588352,2026-08-21|EUR,1000000.0
ALTPC.PA,ejected_below_floor,90290.51711999999,2026-08-21|EUR,1000000.0
ALTN.L,ejected_below_floor,944426.166222,2026-08-21|GBp,1000000.0
AZ2.DE,ejected_below_floor,44259.50896,2026-08-21|EUR,1000000.0
0RR8.L,ejected_below_floor,396635.736,2026-08-21|USD,1000000.0
68V.DE,ejected_below_floor,111152.892123,2026-08-21|EUR,1000000.0
FDBC,ejected_below_floor,698369.86,2026-08-21|USD,1000000.0
053580.KQ,ejected_below_floor,171262.891005987,2026-08-21|KRW,1000000.0
ANTIN.PA,ejected_below_floor,410128.7771432,2026-08-21|EUR,1000000.0
HYDRA.AS,ejected_below_floor,42795.6912,2026-08-21|EUR,1000000.0
120030.KS,ejected_below_floor,58348.41185943,2026-08-21|KRW,1000000.0
PZA.TO,ejected_below_floor,654544.9221600001,2026-08-21|CAD,1000000.0
078520.KS,ejected_below_floor,860578.887904095,2026-08-21|KRW,1000000.0
BOI.PA,ejected_below_floor,66403.598598,2026-08-21|EUR,1000000.0
0QKP.L,ejected_below_floor,10832.856,2026-08-21|CHF,1000000.0
0DTF.L,ejected_below_floor,32953.96423,2026-08-21|EUR,1000000.0
0QZ5.L,ejected_below_floor,430008.0,2026-08-21|USD,1000000.0
