score,source,symbol,buy_price,eval_price,price_return,div_return,total_return,current_price,current_return
16.85,BOKUS.ST,BOKUS.ST,9.925,11.5,0.15869017632241805,0.2430688409496925,0.40175901727211055,17.25,1.0128245422386724
15.840000000000003,DP4B.DE,DP4B.DE,377.4454391368642,286.48102584863886,-0.24100016547091205,0.5544924228810145,0.31349225741010245,725.6188313660975,1.569486313373149
15.250000000000002,IFP.TO,IFP.TO,10.1274995,4.1975,-0.585534415479359,0.0,-0.585534415479359,2.5375,-0.7494445692147406
15.010000000000003,PIPR,PIPR,44.6275,74.9875,0.6802980225197468,0.12051437218981767,0.8008123947095644,86.7475,1.0873866081247066
14.950000000000001,JXN-PA,JXN-PA,10.753309002801979,21.828572392956268,1.0299400293684873,0.18667873640193228,1.2166187657704195,25.3075,1.5665234300392445
14.850000000000001,EOG,EOG,22.2075,30.644999999999996,0.3799392097264436,0.15401527106471172,0.5339544807911554,28.03,0.4409437246564021
14.850000000000001,0IDR.L,0IDR.L,22.2075,30.644999999999996,0.3799392097264436,0.15401527106471172,0.5339544807911554,28.03,0.4409437246564021
14.81,TRTN-PA,TRTN-PA,6.809999999999999,6.1075,-0.10315712187958868,0.3506619198879649,0.24750479800837621,6.28,0.35486251964036475
14.81,TRTN-PC,TRTN-PC,6.809999999999999,6.1075,-0.10315712187958868,0.3506619198879649,0.24750479800837621,6.28,0.35486251964036475
14.81,TRTN-PE,TRTN-PE,6.809999999999999,6.1075,-0.10315712187958868,0.3506619198879649,0.24750479800837621,6.28,0.35486251964036475
14.81,TRTN-PD,TRTN-PD,6.809999999999999,6.1075,-0.10315712187958868,0.3506619198879649,0.24750479800837621,6.28,0.35486251964036475
14.81,TRTN-PB,TRTN-PB,6.809999999999999,6.1075,-0.10315712187958868,0.3506619198879649,0.24750479800837621,6.28,0.35486251964036475
14.8,ZIM,ZIM,14.506837704697269,3.202032168505709,-0.7792742819843568,1.6328740266875124,0.8535997447031556,21.70041686019636,2.7590829669739767
14.790000000000001,NEXN,NEXN,3.7875000493216637,2.505,-0.3386138699988553,0.0,-0.3386138699988553,2.3125,-0.3894389518452506
14.79,SSAB-A.ST,SSAB-A.ST,11.402499999999998,10.9775,-0.03727252795439588,0.3279591445774974,0.2906866166231015,13.65,0.5715904442348396
14.79,SSAB-B.ST,SSAB-B.ST,11.402499999999998,10.9775,-0.03727252795439588,0.3279591445774974,0.2906866166231015,13.65,0.5715904442348396
14.75,SBLK,SBLK,5.6675,3.7375,-0.3405381561535069,0.4822144656299733,0.14167630947646637,4.6475,0.3136115665936182
14.5875,SLP.L,SLP.L,0.30342149,0.12863032500000002,-0.5760671895718394,0.26491188272746835,-0.3111553068443711,0.24029599999999998,0.06701067901363153
14.587499999999999,PLAB,PLAB,3.395,5.7,0.678939617083947,0.0,0.678939617083947,5.975,0.7599410898379969
14.56,PXT.TO,PXT.TO,4.2712164999999995,2.5329105,-0.40698147705694615,0.19226498306645362,-0.21471649399049253,4.5475,0.3344404587059015
14.56,ELG.DE,ELG.DE,14.625,17.0,0.1623931623931624,0.03939073603630631,0.2017838984294687,20.475,0.45055576339926123
14.530000000000001,MGY,MGY,4.7175,5.845,0.23900370959194478,0.060515172861250716,0.29951888245319547,5.9675,0.3446823524591114
14.470000000000002,SAMG,SAMG,4.2924999999999995,4.5975,0.07105416423995356,0.1286524034175858,0.19970656765753936,3.9375,0.08354511204694039
14.450000000000001,JXN,JXN,10.462862820512822,21.77,1.080692480964113,0.18667873640193228,1.2673712173660452,25.3075,1.631854874569713
14.3,PRFO.ST,PRFO.ST,26.199999999999996,11.0,-0.5801526717557252,0.27597171079851524,-0.3041809609572099,4.5125,-0.5099544605899035
14.229999999999999,SNDR,SNDR,6.7275,7.319999999999999,0.08807134894091406,0.04183928526829152,0.12991063420920557,5.29,-0.1591719641370219
14.200000000000003,KLIC,KLIC,14.57,11.94,-0.18050789293067954,0.04904837475215243,-0.1314595181785271,10.085,-0.24151499018763872
14.2,FSUN,FSUN,6.0,10.0125,0.6687499999999998,0.0,0.6687499999999998,9.6975,0.61625
14.180000000000001,HLAG.DE,HLAG.DE,69.25,38.35,-0.4462093862815884,0.5362077853463512,0.08999839906476276,28.0,0.005701896572381071
14.150000000000002,ACLS,ACLS,18.64,17.4675,-0.06290236051502143,0.0,-0.06290236051502143,24.41,0.3095493562231759
14.129999999999999,CPSS,CPSS,2.9625,2.715,-0.08354430379746837,0.0,-0.08354430379746837,1.8874999999999997,-0.36286919831223635
14.124999999999998,MOV,MOV,8.66,4.6175,-0.46680138568129337,0.18300189722174404,-0.28379948845954933,4.5525,-0.18388218486667396
14.049999999999999,GMRE-PA,GMRE-PA,22.1875,9.65,-0.5650704225352112,1.5496939159443275,0.9846234934091163,8.4275,1.270182401170744
14.049999999999999,GMRE,GMRE,22.1875,9.65,-0.5650704225352112,1.5496939159443275,0.9846234934091163,8.4275,1.270182401170744
14.010000000000003,AOSL,AOSL,15.139999999999999,9.2575,-0.3885402906208718,0.0,-0.3885402906208718,6.99,-0.5383091149273447
13.989999999999998,CPF,CPF,7.0425,7.262500000000001,0.031238906638267748,0.15002253771585372,0.18126144435412148,7.585,0.25555850285321485
13.98,DMLP,DMLP,6.371948421086678,2.4926451543094323,-0.6088095838848089,0.35114987916198254,-0.25765970472282634,6.255739364996207,0.4191925274143199
13.970000000000002,FRU.TO,FRU.TO,2.9125,3.1975,0.09785407725321878,0.22087507682128799,0.31872915407450675,3.445,0.4656047149113067
