dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
ABX.TO,B,Barrick Gold Corporation,Basic Materials,Basic Materials,ABX.TO|B,,36.7136,1666000000.0,61164857600.0,punctuation,0,0,0,0,4736626.0,2026-08-21,10971356.0,2026-08-21
ACB.TO,ACB,Aurora Cannabis Inc.,Healthcare,Healthcare,ACB|ACB.TO,,3.9604,61678703.0,244270922.9189,punctuation,0,0,0,0,458812.0,2026-08-21,1347341.0,2026-08-21
ACT.TO,ADUR,Aduro Clean Technologies Inc.,Industrials,Industrials,ACT.TO|ADUR,,14.82,32945095.0,488246307.9,volavg,1,0,0,0,21903.0,2026-08-21,557795.0,2026-08-21
ADNWW,ADN,,,,ADN|ADNWW,symbol-extension,3.33,2819633.0,9389377.89,canonicity,0,0,0,0,,not-captured,,not-captured
ADW-B.TO,ADW-A.TO,Andrew Peller Limited,Consumer Defensive,Consumer Defensive,ADW-A.TO|ADW-B.TO,,7.94,42993471.0,341368159.74,volavg,1,0,0,0,3059.0,2026-08-21,146990.0,2026-08-21
AEM.TO,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,AEM|AEM.TO,,155.13,501659000.0,77822360670.0,punctuation,0,0,0,0,1119609.0,2026-08-21,2934991.0,2026-08-21
AFGB,AFG,"American Financial Group, Inc.",Financial Services,Financial Services,AFG|AFGB|AFGC|AFGD|AFGE,symbol-extension,139.94,83000000.0,11615020000.0,canonicity,1,0,0,0,8380.0,2026-08-21,467366.0,2026-08-21
AFGC,AFG,"American Financial Group, Inc.",Financial Services,Financial Services,AFG|AFGB|AFGC|AFGD|AFGE,symbol-extension,139.94,83000000.0,11615020000.0,canonicity,1,0,0,0,10700.0,2026-08-21,467366.0,2026-08-21
AFGD,AFG,"American Financial Group, Inc.",Financial Services,Financial Services,AFG|AFGB|AFGC|AFGD|AFGE,symbol-extension,139.94,83000000.0,11615020000.0,canonicity,1,0,0,0,9140.0,2026-08-21,467366.0,2026-08-21
AFGE,AFG,"American Financial Group, Inc.",Financial Services,Financial Services,AFG|AFGB|AFGC|AFGD|AFGE,symbol-extension,139.94,83000000.0,11615020000.0,canonicity,1,0,0,0,8411.0,2026-08-21,467366.0,2026-08-21
AG.TO,AG,First Majestic Silver Corp.,Basic Materials,Basic Materials,AG|AG.TO,,16.9523,493335474.0,8363180822.5997,shares,0,0,0,0,1578330.0,2026-08-21,11112395.0,2026-08-21
AGI.TO,AGI,Alamos Gold Inc.,Basic Materials,Basic Materials,AGI|AGI.TO,,30.34,419694000.0,12733515960.0,punctuation,0,0,0,0,1405001.0,2026-08-21,4737374.0,2026-08-21
AGRIW,AGRI,,,,AGRI|AGRIW,symbol-extension,39.0,125433.6667,4891913.0,canonicity,0,0,0,0,,not-captured,,not-captured
AIFER,AIFE,,,,AIFE|AIFER,symbol-extension,2.8333,8625000.0,24437090.0,canonicity,0,0,0,0,,not-captured,,not-captured
AIMBU,AIMAW,,,,AIMAW|AIMBU,,0.032,1116476.0,35727.232,alphabetical,0,0,0,0,,not-captured,,not-captured
AITRU,AITR,,,,AITR|AITRU,symbol-extension,10.48,7838000.0,82142240.0,canonicity,0,0,0,0,,not-captured,,not-captured
ALSAU,ALSA,,,,ALSA|ALSAU,symbol-extension,10.0,3543000.0,35430000.0,canonicity,0,0,0,0,,not-captured,,not-captured
AQN.TO,AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities,AQN|AQN.TO|AQNB,,5.8714,769712719.0,4519260469.8278,punctuation,0,0,-2,-2,2633074.0,2026-08-21,4369425.0,2026-08-21
AQNB,AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities,AQN|AQN.TO|AQNB,symbol-extension,7.9916,565504241.0,4519260469.8278,canonicity,1,0,-1,-2,24980.0,2026-08-21,4369425.0,2026-08-21
ARIS.TO,ARIS,Aris Mining Corporation,Basic Materials,Basic Materials,ARIS|ARIS.TO,,14.8896,206398410.0,3073189765.536,punctuation,0,0,0,0,714379.0,2026-08-21,1510937.0,2026-08-21
ASTL.TO,ASTL,Algoma Steel Group Inc.,Basic Materials,Basic Materials,ASTL|ASTL.TO,,5.7489,109300000.0,628358540.85,punctuation,0,0,0,0,557634.0,2026-08-21,1137416.0,2026-08-21
ATMVU,ATMVR,,,,ATMVR|ATMVU,,12.82,1574356.0,20183243.92,alphabetical,0,0,0,0,,not-captured,,not-captured
ATS.TO,ATS,ATS Corporation,Industrials,Industrials,ATS|ATS.TO,,40.88,98116984.0,4011022305.92,punctuation,0,0,0,0,411579.0,2026-08-21,214795.0,2026-08-21
BAM,BAM.TO,Brookfield Asset Management Ltd.,Financial Services,Financial Services,BAM|BAM.TO,,44.85,1606500000.0,72051525000.0,shares,0,0,0,0,2788659.0,2026-08-21,1846404.0,2026-08-21
BAYAU,BAYA,,,,BAYA|BAYAU,symbol-extension,11.95,1005792.0,12019214.4,canonicity,0,0,0,0,,not-captured,,not-captured
BBD-A.TO,BBD-B.TO,Bombardier Inc.,Industrials,Industrials,BBD-A.TO|BBD-B.TO,,229.8842,99254000.0,22816922416.64,volavg,1,0,0,0,5609.0,2026-08-21,322426.0,2026-08-21
BBUC.TO,BBUC,Brookfield Business Corporation,Industrials,Industrials,BBUC|BBUC.TO,,29.9732,206200000.0,6180472350.0,shares,0,0,0,0,145422.0,2026-08-21,459875.0,2026-08-21
BCE.TO,BCE,BCE Inc.,Communication Services,Communication Services,BCE|BCE.TO,,30.55,932500000.0,28487875000.0,punctuation,0,0,0,0,4812982.0,2026-08-21,4030795.0,2026-08-21
BCT.TO,BCTX,BriaCell Therapeutics Corp.,Healthcare,Healthcare,BCT.TO|BCTX,,5.7,7250487.0,41327775.9,volavg,1,0,0,0,6269.0,2026-08-21,164266.0,2026-08-21
BEP-UN.TO,BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities,BEP|BEP-UN.TO|BEPI,,34.73,300111626.0,10422876770.98,punctuation,0,0,-2,-2,345029.0,2026-08-21,916667.0,2026-08-21
BEPI,BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities,BEP|BEP-UN.TO|BEPI,symbol-extension,34.73,300111626.0,10422876770.98,canonicity,1,0,-1,-2,25446.0,2026-08-21,916667.0,2026-08-21
BEPC.TO,BEPC,Brookfield Renewable Corporation,Utilities,Utilities,BEPC|BEPC.TO,,37.12,182381589.0,6770004583.68,punctuation,0,0,0,0,349041.0,2026-08-21,1684856.0,2026-08-21
BH-A,BH,Biglari Holdings Inc.,Consumer Cyclical,Consumer Cyclical,BH|BH-A,,426.03,3139020.0,1337316690.6,punctuation,0,0,0,0,21924.0,2026-08-21,126000.0,2026-08-21
BHC.TO,BHC,Bausch Health Companies Inc.,Healthcare,Healthcare,BHC|BHC.TO,,4.93,375000000.0,1848750000.0,punctuation,0,0,0,0,623633.0,2026-08-21,3445883.0,2026-08-21
BIPC.TO,BIPC,Brookfield Infrastructure Corporation,Utilities,Utilities,BIPC|BIPC.TO,,38.5046,122990668.0,4735707361.0,shares,0,0,0,0,262355.0,2026-08-21,1022306.0,2026-08-21
BLCO.TO,BLCO,Bausch + Lomb Corporation,Healthcare,Healthcare,BLCO|BLCO.TO,,16.56,357100000.0,5913576000.0,volavg,1,0,0,0,1976.0,2026-08-21,423114.0,2026-08-21
BLDEW,BLDE,,,,BLDE|BLDEW,symbol-extension,4.03,81297402.0,327628530.06,canonicity,0,0,0,0,,not-captured,,not-captured
BLDP.TO,BLDP,Ballard Power Systems Inc.,Industrials,Industrials,BLDP|BLDP.TO,,3.89,301486701.0,1172783266.89,punctuation,0,0,0,0,1373457.0,2026-08-21,7086188.0,2026-08-21
