pool,source,n_flags,flags,status,note
general,LSPD,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,LUV,1,uCurrentRatio,EJECTED,
general,LYV,1,uCurrentRatio,EJECTED,
general,MBG.DE,1,netDebtToEBITDA,EJECTED,
general,MCD,1,netDebtToEBITDA,EJECTED,
general,MCK,1,uCurrentRatio,EJECTED,
general,MCOV-B.ST,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,MDA,1,uCurrentRatio,EJECTED,
general,MDB,1,uInterestCoverage,EJECTED,
general,MEDCL.PA,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,MGNX,1,uInterestCoverage,EJECTED,
general,MHO,1,CFOlessEarnings,EJECTED,
general,MKC,1,uCurrentRatio,EJECTED,
general,MKSI,1,netDebtToEBITDA,EJECTED,
general,MO,1,uCurrentRatio,EJECTED,
general,MOON.L,1,uCurrentRatio,EJECTED,
general,MRVI,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,MSEX,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,MSGS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,MTN,1,uCurrentRatio,EJECTED,
general,MTRX,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,MTY.TO,1,uCurrentRatio,EJECTED,
general,MUSA,1,uCurrentRatio,EJECTED,
general,MXCT,1,returnOnAssets,EJECTED,
general,MYGN,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,NAPA.OL,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,NBTX,1,returnOnAssets,EJECTED,
general,NEE,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,NEM.DE,1,uCurrentRatio,EJECTED,
general,NEOG,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,NFG,1,uCurrentRatio,EJECTED,
general,NFG.L,1,uCurrentRatio,EJECTED,
general,NG.L,1,netDebtToEBITDA,EJECTED,
general,NGL,1,netDebtToEBITDA,EJECTED,
general,NI,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,NKTR,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,NN,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,NOMD,1,netDebtToEBITDA,EJECTED,
general,NOS.LS,1,uCurrentRatio,EJECTED,
general,NRIX,1,returnOnAssets,EJECTED,
general,NRXP,2,"returnOnAssets, uCurrentRatio",EJECTED,
general,NSC,1,uCurrentRatio,EJECTED,
general,NTLA,1,returnOnAssets,EJECTED,
general,NUVB,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,NVDA,1,CFOlessEarnings,EJECTED,
general,NVO,1,uCurrentRatio,EJECTED,
general,NVTS,1,returnOnAssets,EJECTED,
general,NWE,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,NXE,1,uInterestCoverage,EJECTED,
general,NXH,1,returnOnAssets,EJECTED,
general,OCDO.L,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,OCGN,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,OCS,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,OMC,1,uCurrentRatio,EJECTED,
general,ONEW,1,netDebtToEBITDA,EJECTED,
general,OPM.PA,1,uCurrentRatio,EJECTED,
general,ORA,1,netDebtToEBITDA,EJECTED,
general,ORA.PA,1,uCurrentRatio,EJECTED,
general,ORCL,1,netDebtToEBITDA,EJECTED,
general,OTEX,1,uCurrentRatio,EJECTED,
general,OTIS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,OTLY,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,OUST,1,returnOnAssets,EJECTED,
general,OVV,1,uCurrentRatio,EJECTED,
general,OVZON.ST,1,uCurrentRatio,EJECTED,
general,OXB.L,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,PANR.L,1,uInterestCoverage,EJECTED,
general,PBA,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,PBH.TO,1,netDebtToEBITDA,EJECTED,
