source,RoA,earnYield,grahamNumberToPrice,bVpRatio,revenueGrowth,incomeQuality,returnOnEquity,returnOnCapitalEmployed,currentRatio,grossProfitMargin,freeCashFlowYield,freeCashFlowPerShareGrowth,DcfToPrice,marketCapRevQuants,Altman-Z,Piotroski,tbVpRatio,BoScore,EPStoEPSmean,priceGrowth,CycleHeat,AggScore,rankOfRanks,symbol,buy_price,eval_price,total_return,current_price,current_return
FXPO.L,6.963215513556746,1.6678586639458277,0.2789344043478069,-0.10991169455459054,-0.552425389169041,-0.10781411172116188,3.1320264290779742,3.7331211071897337,-0.04926235807557005,0.40874995867537606,0.7329636803854572,-1.3871317624670891,0.0,-0.0630435316833945,0.21522272259625683,-0.8290739551474591,-0.07810828035007081,-0.0760855953014985,0.05409267848666328,-0.026720517857629508,0.766066860606373,1.467267482254071,0.3,FXPO.L,1.012892655,0.28722062499999995,-0.7164352771419791,0.15945356,-0.8425760526420245
SLP.L,3.54180019394294,1.5216369759426809,0.5437646928270512,0.21781161165860105,0.37554461851254045,-0.023344649384709617,0.7038732945580891,1.4485243159217476,-0.008212962923632506,-0.29010278126052175,0.2735836468074529,1.2401330567526143,-0.19956009898223864,0.42190671203502467,0.33341866134188813,-0.3384976503264775,0.13586571233525746,0.11740788563621832,0.054494852162857786,-0.026890612212760963,0.2039280928336983,1.024708556817832,0.1,SLP.L,0.30342149,0.24174270000000003,-0.20327759250012245,0.24029599999999998,-0.20804554746600193
SWBI,5.48164980843832,0.15034485815870552,-0.28806797468974454,-0.18666332070127767,-0.529403169274323,-0.18846849775711125,2.2584223442454787,3.062203532390939,-0.043270438245148715,-0.1590015376141943,0.41066645043346683,0.534822417112014,-0.4241847843868244,0.1794315901758151,0.1343157645010394,-1.3196502599684408,-0.14683918085131534,-0.0627765198930837,0.05365529758516736,-0.029338272101475205,0.5211866154474346,0.9409034723005443,1.4,SWBI,5.46,3.6824999999999997,-0.3255494505494506,2.3975,-0.5608974358974359
0HEM.L,5.48164980843832,0.15034485815870552,-0.28806797468974454,-0.18666332070127767,-0.529403169274323,-0.18846849775711125,2.2584223442454787,3.062203532390939,-0.043270438245148715,-0.1590015376141943,0.41066645043346683,0.534822417112014,-0.4241847843868244,0.1794315901758151,0.1343157645010394,-1.3196502599684408,-0.14683918085131534,-0.0627765198930837,0.05365529758516736,-0.029338272101475205,0.5211866154474346,0.9409034723005443,1.4,0HEM.L,5.46,3.6824999999999997,-0.3255494505494506,2.3975,-0.5608974358974359
CF.TO,-0.8499471367518379,0.7024504407695392,0.0936098451946954,0.03330253791472882,0.1892727467238477,-0.07129341417953736,0.20638771787862706,0.5967535215370843,-0.053368551769066706,-0.41800635958306187,2.765316167583799,0.12225218981347179,0.31185702288683576,-0.0630435316833945,-0.165961815771103,0.1520786544945041,-0.10362270469933457,0.014347865806958869,0.054327218665517485,-0.01858322141664439,0.6770677883994897,0.41751969818151186,0.4,CF.TO,3.7699999999999996,1.9,-0.4960212201591512,2.59,-0.31299734748010605
CF-PC.TO,-0.8499471367518379,0.7024504407695392,0.0936098451946954,0.03330253791472882,0.1892727467238477,-0.07129341417953736,0.20638771787862706,0.5967535215370843,-0.053368551769066706,-0.41800635958306187,2.765316167583799,0.12225218981347179,0.31185702288683576,-0.0630435316833945,-0.165961815771103,0.1520786544945041,-0.10362270469933457,0.014347865806958869,0.054327218665517485,-0.01858322141664439,0.6770677883994897,0.41751969818151186,0.4,CF-PC.TO,3.7699999999999996,1.9,-0.4960212201591512,2.59,-0.31299734748010605
ARG.TO,0.06098164848064489,-0.2056180790715748,-0.013368153013997136,0.09843549865763296,0.8914037381238878,-0.09512584730805629,0.0028988596408241678,0.18605974846393525,-0.0549256918407585,-1.0059767112072657,0.3064420907489295,2.5955121953183014,0.11124268073974333,0.42190671203502467,-0.08109328526477347,1.1332312641364672,0.05455157649867555,-0.03124424892545624,0.05461093621209081,-0.034778657454759734,-0.26492642275243583,0.41302198522170797,0.6,ARG.TO,0.28856899999999996,0.26198372499999995,-0.0921279659284262,0.48824,0.6919350311364009
IFP.TO,1.9763035764486319,0.742282353641034,0.027226438796582566,-0.05485005175671881,0.3367753908607649,-0.011748872532378494,0.7112315479265559,0.818530892915519,-0.038750908108314046,-0.5788572105701224,0.04077996078985847,-1.7054012739781967,0.0,-0.0630435316833945,-0.04019781057234277,0.6426549593154857,-0.07942605441216728,0.22592803896636654,0.05333611057285103,-0.02369913069148139,0.8823699416258184,0.3861444367554351,0.2,IFP.TO,10.1274995,5.87,-0.4203899985381387,3.135,-0.69044678797565
HLAG.DE,2.2178473476952676,0.28686386186429463,-0.3551030670426948,-0.1865574506474251,0.18518295431455697,-0.03080952471541048,1.124911690162227,0.8150226757835523,-0.05485669508808264,-0.6397673237206174,-0.11989581398461918,0.6714572512227064,0.0,-0.3055186535426041,0.038751081447061915,0.6426549593154857,-0.15482548392584503,-0.08802963733469078,0.036412498081779605,-0.02675764495847496,-0.5494508149058914,0.35075322100205764,3.3,HLAG.DE,69.25,33.75,-0.5126353790613718,31.75,-0.5415162454873647
PRFO.ST,3.4958406814610714,-0.26483958349808384,-0.6311525546760616,-0.29905151538132047,-0.4071010992739065,-0.16656408679427015,1.788606487340894,-2.298714236263111,-0.04600252593145747,0.6986734763838467,-0.7641317338359308,0.1916622914784794,0.0,-0.0630435316833945,0.30029946794397266,1.1332312641364672,-0.19390531970660496,0.0703142341910598,0.05426584444295715,-0.00860590754611398,0.5346574334559138,0.3124439086244407,2.8,PRFO.ST,26.199999999999996,19.5,-0.2557251908396945,4.5125,-0.8277671755725191
KLIC,1.5079882637857978,-0.07657274857861787,-0.46060182626334284,-0.20395028948018695,2.4475018479410955,-0.16280127663257335,0.3480908706680431,0.4703458422139021,-0.02940804745984072,-0.0011926947177128822,-0.7086091773217625,0.6449016353383886,-0.396418865338978,-0.0630435316833945,0.14376569897234392,0.1520786544945041,-0.1380491701848132,0.0539338336883963,0.05296567122776727,-0.01796120469653286,-0.5494508149058914,0.30135126710665927,2.1,KLIC,14.57,13.68,-0.061084420041180545,10.085,-0.30782429649965676
RIO.L,2.60855999011333,0.6133387007063894,-0.21992218050579132,-0.18347844002337468,-0.5105608573567229,-0.145900739675882,1.5078280951176861,1.2662221543527348,-0.04937758787302177,-0.39491374153380643,-0.17577024982414943,0.26579458950847545,0.28456736875290883,-0.3055186535426041,-0.03442096155176467,-1.3196502599684408,-0.11114401821142596,-0.021825518636424075,0.04652587307687532,-0.005061599891662105,-0.23403765782046915,0.28812543052128614,1.1,RIO.L,16.5500029,18.592164999999998,0.12339345874072317,14.572235999999997,-0.11950251078203754
RIO,2.60855999011333,0.6133387007063894,-0.16528517869405274,-0.18347844002337468,-0.8479273649870681,-0.145900739675882,1.5078280951176861,1.2662221543527348,-0.04937758787302177,-0.39491374153380643,-0.23728333446745403,0.22516737624018596,0.2642585460645383,-0.3055186535426041,-0.04593068554221399,-1.3196502599684408,-0.10493813746987259,-0.0627765198930837,0.049361625017697516,-0.0031701491498431268,0.02399639761761024,0.2692582092409455,1.6,RIO,12.38322533845296,18.57312520915627,0.49986168397357267,14.822519223905763,0.19698372748480933
PIPR,-0.0269749756767662,-0.020602270869478793,-0.3492995888172305,-0.13778394543366226,0.5083229147477777,0.11729851530270413,0.05929291316864725,0.4715516140107953,0.16626623317751055,0.5435686274619589,1.0298599310902914,0.30629864066009066,-0.10615907400830586,-0.0630435316833945,-0.05767608146616526,0.6426549593154857,-0.12189406234856169,0.18661507775997357,0.049308016717131135,-0.016110720316774952,-0.5494508149058914,0.26320423778861357,1.0,PIPR,44.6275,43.7175,-0.02039101450899102,86.7475,0.9438126715590165
RIO1.DE,2.60855999011333,0.6133387007063894,-0.1646451770530413,-0.18347844002337468,-0.8454745637816126,-0.145900739675882,1.5078280951176861,1.2662221543527348,-0.04937758787302177,-0.39491374153380643,-0.25824783276945046,0.21775783891523742,0.26195594237310926,-0.3055186535426041,-0.04689119181527822,-1.8102265647894225,-0.10482407280234295,-0.0832520205214135,0.049379535943204426,-0.003119600636407693,0.03697338982549164,0.2166145460529525,1.7,RIO1.DE,12.269063935496085,18.592164999999998,0.5153694770642049,14.572235999999997,0.18772190581226975
SBLK,0.22034219357629822,0.2823601621574539,-0.006916374045819174,0.11670856584281693,0.8710204255185855,-0.09802719534410483,0.0388670064920811,-0.09964709899900812,-0.05274621827304176,-0.008923016822504319,-0.21753566589049392,0.7268543378234384,0.0,-0.0630435316833945,-0.08755770347957392,0.6426549593154857,0.07612668332250053,0.14402603645304698,0.052083701558562144,-0.01828110883879544,-0.5494508149058914,0.19689153437776422,0.5,SBLK,5.6675,5.315,-0.062196735774150864,4.6475,-0.17997353330392596
