source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
KIN2.DE,ejected_below_floor,110483.08107300001,2026-08-21|EUR,1000000.0
SBI.TO,ejected_below_floor,145849.7964,2026-08-21|CAD,1000000.0
0J3H.L,ejected_below_floor,213985.19999999998,2026-08-21|USD,1000000.0
0VOA.L,ejected_below_floor,53437.63418699999,2026-08-21|CAD,1000000.0
HFF.DE,ejected_below_floor,4638.932052,2026-08-21|EUR,1000000.0
GMR.L,ejected_below_floor,117557.03584319999,2026-08-21|GBp,1000000.0
0LJL.L,ejected_below_floor,139234.94,2026-08-21|USD,1000000.0
0QYM.L,ejected_below_floor,461727.147504,2026-08-21|CAD,1000000.0
CFX.L,ejected_below_floor,96113.11464,2026-08-21|GBp,1000000.0
216050.KQ,ejected_below_floor,136837.929235578,2026-08-21|KRW,1000000.0
234080.KS,ejected_below_floor,269910.4499201431,2026-08-21|KRW,1000000.0
0JSU.L,ejected_below_floor,8489.10861,2026-08-21|EUR,1000000.0
001065.KS,ejected_below_floor,5186.1065599349995,2026-08-21|KRW,1000000.0
001067.KS,ejected_below_floor,2545.7288337,2026-08-21|KRW,1000000.0
0QNG.L,ejected_below_floor,270592.765235625,2026-08-21|CHF,1000000.0
0HQU.L,ejected_below_floor,321226.80000000005,2026-08-21|USD,1000000.0
0VCO.L,ejected_below_floor,23837.426234999995,2026-08-21|CAD,1000000.0
ALNTG.PA,ejected_below_floor,20297.9054817,2026-08-21|EUR,1000000.0
PA9.DE,ejected_below_floor,3631.8132750000004,2026-08-21|EUR,1000000.0
MOUR.BR,ejected_below_floor,43980.309,2026-08-21|EUR,1000000.0
LOUP.PA,ejected_below_floor,689325.96744,2026-08-21|EUR,1000000.0
PRU.TO,ejected_below_floor,145541.096442,2026-08-21|CAD,1000000.0
007700.KS,ejected_below_floor,248176.9463798067,2026-08-21|KRW,1000000.0
EIN.DE,ejected_below_floor,296671.54002,2026-08-21|EUR,1000000.0
092730.KQ,ejected_below_floor,985374.7157011065,2026-08-21|KRW,1000000.0
028100.KS,ejected_below_floor,453679.194822106,2026-08-21|KRW,1000000.0
EMBELL.ST,ejected_below_floor,37353.71712,2026-08-21|SEK,1000000.0
0EAQ.L,ejected_below_floor,121281.8106,2026-08-21|USD,1000000.0
SNFCA,ejected_below_floor,322424.775,2026-08-21|USD,1000000.0
0VL5.L,ejected_below_floor,23967.599264,2026-08-21|CAD,1000000.0
0RJ6.L,ejected_below_floor,7741.88619,2026-08-21|EUR,1000000.0
SFE.DE,ejected_below_floor,158.44098600000004,2026-08-21|EUR,1000000.0
SEA1.OL,ejected_below_floor,492582.27074700006,2026-08-21|NOK,1000000.0
LNF.TO,ejected_below_floor,463400.89970999997,2026-08-21|CAD,1000000.0
0KAN.L,ejected_below_floor,18234.2,2026-08-21|USD,1000000.0
DBO.TO,ejected_below_floor,659477.5808179999,2026-08-21|CAD,1000000.0
HCL.DE,ejected_below_floor,418679.816058,2026-08-21|EUR,1000000.0
0QQF.L,ejected_below_floor,8444.31625,2026-08-21|CHF,1000000.0
0KGH.L,ejected_below_floor,92057.72,2026-08-21|USD,1000000.0
268280.KS,ejected_below_floor,321738.348516768,2026-08-21|KRW,1000000.0
033270.KS,ejected_below_floor,391238.1164538423,2026-08-21|KRW,1000000.0
FCAP,ejected_below_floor,727450.96,2026-08-21|USD,1000000.0
XLY.TO,ejected_below_floor,213106.57105499998,2026-08-21|CAD,1000000.0
0AHJ.L,ejected_below_floor,95128.337899,2026-08-21|CAD,1000000.0
TCL-B.TO,ejected_below_floor,5861.14221,2026-08-21|CAD,1000000.0
032850.KQ,ejected_below_floor,179096.70149950648,2026-08-21|KRW,1000000.0
PES.DE,ejected_below_floor,5710.168386,2026-08-21|EUR,1000000.0
RTC.L,ejected_below_floor,10954.6320675,2026-08-21|GBp,1000000.0
TWC.TO,ejected_below_floor,35551.201812,2026-08-21|CAD,1000000.0
069730.KS,ejected_below_floor,245522.34593493099,2026-08-21|KRW,1000000.0
0IWV.L,ejected_below_floor,29839.952100000002,2026-08-21|EUR,1000000.0
ERIC-A.ST,ejected_below_floor,336665.90512,2026-08-21|SEK,1000000.0
ITU.DE,ejected_below_floor,744337.0134,2026-08-21|EUR,1000000.0
NRG.PA,ejected_below_floor,68279.02185,2026-08-21|EUR,1000000.0
0R0A.L,ejected_below_floor,770762.75,2026-08-21|USD,1000000.0
0KNY.L,ejected_below_floor,308863.05,2026-08-21|USD,1000000.0
M12.DE,ejected_below_floor,111582.49557000001,2026-08-21|EUR,1000000.0
UNP.DE,ejected_below_floor,38976.762240000004,2026-08-21|EUR,1000000.0
0GX2.L,ejected_below_floor,54485.240040000004,2026-08-21|EUR,1000000.0
ERCG.DE,ejected_below_floor,3497.7281040000003,2026-08-21|EUR,1000000.0
