,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score
56,MEG.TO,30.8900,24.3859,1.0080,Energy,Buy,1.3733,0.3978,0.3363,54.3022,NaN,-0.5256,3.5000
57,TCL-B.TO,24.4300,10.4068,0.7940,Industrials,Buy,1.3869,1.1732,0.6251,50.0715,2.4030,-0.6683,4.0000
58,TCL-A.TO,24.3100,10.4068,0.7940,Industrials,Buy,1.3869,1.1732,0.6281,50.0715,2.4030,-0.6683,4.0000
59,0Q76.L,3.6700,3.9522,0.2410,Real Estate,Buy,1.9905,6.1187,1.5733,45.5885,NaN,-0.7564,2.0000
60,OCN.L,1180.0000,3.0906,0.6750,Industrials,Buy,2.3465,0.0000,0.0194,63.5661,0.1526,-inf,3.0000
61,HEN.DE,64.4000,6.2844,0.4390,Consumer Defensive,Buy,1.2105,3.0463,0.8299,49.5209,2.0264,-0.7098,1.5000
62,HEN3.DE,69.1600,6.2844,0.4390,Consumer Defensive,Buy,1.2105,3.0463,0.7727,49.5209,2.0264,-0.7098,1.5000
63,0F6L.L,5.0450,2.7370,0.1780,Energy,Strong Buy,1.1473,0.0000,1.6600,62.0855,NaN,-0.1899,4.5000
64,0QME.L,116.0000,7.0968,0.1050,Industrials,Strong Buy,2.4181,4.5438,0.5966,50.0473,1.4178,-0.9626,2.0000
65,SBOK.ST,48.8000,10.3674,0.4190,Industrials,Strong Buy,3.3284,0.0000,0.6277,48.4251,2.2539,-0.5467,0.5000
66,BXP.L,44.0000,3.5709,0.1710,Healthcare,Buy,2.1346,0.0002,2.3039,44.8847,NaN,-0.1928,3.0000
67,ABX.TO,56.6200,10.7157,0.8890,Basic Materials,Buy,2.9438,0.4551,0.2815,47.9140,0.4437,-0.8930,3.5000
68,AER,140.3900,4.2834,1.1300,Industrials,Neutral,0.6211,0.2365,0.9255,53.5768,-0.0561,-0.9247,2.0000
69,0RPW.L,45.0000,12.0750,1.5630,Financial Services,Buy,4.0207,0.9092,0.5632,69.1309,1.2925,-0.8204,1.5000
