pool,source,n_flags,flags,status,note
BalanceSheetFin,ALK.L,1,returnOnAssets,EJECTED,
BalanceSheetFin,MBI,1,returnOnAssets,EJECTED,
BalanceSheetFin,OSG,1,returnOnAssets,EJECTED,
BalanceSheetFin,SDLF.L,1,returnOnAssets,EJECTED,
FinManager,006800.KS,1,uInterestCoverage,EJECTED,
FinManager,041190.KQ,1,CFOlessEarnings,EJECTED,
FinManager,PBEE.L,1,uInterestCoverage,EJECTED,
FinManager,VALUE.AS,1,CFOlessEarnings,EJECTED,
InvestmentVehicle,,,,NO_EJECTIONS,"pool 'InvestmentVehicle' is not in VETO_POOLS ['general', 'REIT', 'Mining', 'FinManager', 'BalanceSheetFin']: n = 15 and nothing in it fails the statutory asset-coverage test, so there is no ejection to make. The obvious candidate flag is also structurally undefined here -- under ASC 946 portfolio purchases are an OPERATING cash flow, so `CFO > 0` ejects 5 of 15 (3 of them in the top-25) for DEPLOYING CAPITAL. This cohort is NOT vetoed and is NOT thereby certified clean."
Mining,ABRA.TO,1,cashRunwayOneYear,EJECTED,
Mining,ALAFY.PA,1,producerEbitdaPositive,EJECTED,
Mining,ALCRB.PA,1,producerEbitdaPositive,EJECTED,
Mining,ALMIB.PA,1,cashRunwayOneYear,EJECTED,
Mining,ALOY,1,producerEbitdaPositive,EJECTED,
Mining,ASTL,1,producerEbitdaPositive,EJECTED,
Mining,AVL.TO,1,producerEbitdaPositive,EJECTED,
Mining,AVTX.AS,1,producerEbitdaPositive,EJECTED,
Mining,BHST,1,producerEbitdaPositive,EJECTED,
Mining,BKI.TO,1,equityPositive,EJECTED,
Mining,CRML,1,producerEbitdaPositive,EJECTED,
Mining,ELR.TO,1,producerEbitdaPositive,EJECTED,
Mining,ESM.TO,2,"cashRunwayOneYear, equityPositive",EJECTED,
Mining,ETG.TO,1,equityPositive,EJECTED,
Mining,FT.TO,1,equityPositive,EJECTED,
Mining,FURY.TO,1,cashRunwayOneYear,EJECTED,
Mining,GENM.TO,1,equityPositive,EJECTED,
Mining,GLO.TO,1,producerEbitdaPositive,EJECTED,
Mining,GMX.TO,1,producerEbitdaPositive,EJECTED,
Mining,GOLD.TO,1,cashRunwayOneYear,EJECTED,
Mining,IAU.TO,1,producerEbitdaPositive,EJECTED,
Mining,IE.TO,1,producerEbitdaPositive,EJECTED,
Mining,LGO,1,producerEbitdaPositive,EJECTED,
Mining,LHYFE.PA,1,producerEbitdaPositive,EJECTED,
Mining,LOOP,2,"cashRunwayOneYear, producerEbitdaPositive",EJECTED,
Mining,MAS,1,equityPositive,EJECTED,
Mining,NEXT.TO,2,"cashRunwayOneYear, producerEbitdaPositive",EJECTED,
Mining,NPK.TO,1,producerEbitdaPositive,EJECTED,
Mining,OCG.TO,1,cashRunwayOneYear,EJECTED,
Mining,PAT.L,1,cashRunwayOneYear,EJECTED,
Mining,SLR.TO,1,cashRunwayOneYear,EJECTED,
Mining,SLS.TO,1,equityPositive,EJECTED,
Mining,ZTEK,2,"cashRunwayOneYear, producerEbitdaPositive",EJECTED,
REIT,AOMR,1,reitEbitdaInterestCoverage,EJECTED,
REIT,BLEE.PA,1,reitEbitdaInterestCoverage,EJECTED,
REIT,CMTG,1,reitEbitdaInterestCoverage,EJECTED,
REIT,FTHM,1,reitEbitdaInterestCoverage,EJECTED,
general,000050.KS,1,uCurrentRatio,EJECTED,
general,000070.KS,1,netDebtToEBITDA,EJECTED,
general,000120.KS,1,netDebtToEBITDA,EJECTED,
general,000640.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,001530.KS,3,"netDebtToEBITDA, uCurrentRatio, uInterestCoverage",EJECTED,
general,001630.KS,1,uCurrentRatio,EJECTED,
general,002020.KS,1,uCurrentRatio,EJECTED,
general,002320.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,002600.KS,1,netDebtToEBITDA,EJECTED,
general,002880.KS,1,uCurrentRatio,EJECTED,
general,003070.KS,1,uInterestCoverage,EJECTED,
general,003380.KQ,1,uCurrentRatio,EJECTED,
general,004170.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,004800.KS,1,uCurrentRatio,EJECTED,
general,005300.KS,1,uCurrentRatio,EJECTED,
general,005880.KS,1,netDebtToEBITDA,EJECTED,
general,006730.KQ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,006880.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,007160.KS,1,uCurrentRatio,EJECTED,
general,011280.KS,2,"uCurrentRatio, uInterestCoverage",EJECTED,
general,012800.KS,1,netDebtToEBITDA,EJECTED,
general,014910.KS,1,netDebtToEBITDA,EJECTED,
general,016450.KS,1,netDebtToEBITDA,EJECTED,
general,016880.KS,1,uCurrentRatio,EJECTED,
general,018500.KS,1,uCurrentRatio,EJECTED,
general,021240.KS,1,CFOlessEarnings,EJECTED,
general,024900.KS,1,uCurrentRatio,EJECTED,
general,025980.KQ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,027740.KS,1,uCurrentRatio,EJECTED,
general,033290.KQ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,035600.KQ,1,uCurrentRatio,EJECTED,
general,036630.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,048410.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,053030.KQ,2,"netDebtToEBITDA, uInterestCoverage",EJECTED,
general,065660.KQ,1,returnOnAssets,EJECTED,
general,067630.KQ,2,"netDebtToEBITDA, uInterestCoverage",EJECTED,
general,067990.KQ,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,068290.KS,1,CFOlessEarnings,EJECTED,
general,075580.KS,1,uCurrentRatio,EJECTED,
general,079980.KS,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,082210.KQ,3,"returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,083790.KQ,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,084680.KS,3,"returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,089590.KS,1,uCurrentRatio,EJECTED,
general,090080.KS,1,uCurrentRatio,EJECTED,
general,092220.KS,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,096760.KS,1,uCurrentRatio,EJECTED,
general,097230.KS,1,uCurrentRatio,EJECTED,
general,0A39.L,1,uCurrentRatio,EJECTED,
general,0MTP.L,2,"netDebtToEBITDA, returnOnAssets",EJECTED,
general,0N6K.L,1,uCurrentRatio,EJECTED,
general,0NIQ.L,1,netDebtToEBITDA,EJECTED,
general,0QN1.L,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,0R53.L,1,uCurrentRatio,EJECTED,
general,0RRB.L,1,returnOnAssets,EJECTED,
general,0W4N.L,1,uInterestCoverage,EJECTED,
general,112040.KQ,1,uCurrentRatio,EJECTED,
general,117580.KS,1,uCurrentRatio,EJECTED,
general,122990.KQ,1,uInterestCoverage,EJECTED,
general,179900.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,200880.KS,1,uCurrentRatio,EJECTED,
general,214680.KQ,1,uInterestCoverage,EJECTED,
general,215200.KQ,1,uCurrentRatio,EJECTED,
general,217820.KQ,1,uCurrentRatio,EJECTED,
general,221840.KQ,1,netDebtToEBITDA,EJECTED,
general,226950.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,249420.KS,1,uCurrentRatio,EJECTED,
general,271940.KS,1,uInterestCoverage,EJECTED,
general,277810.KQ,2,"CFOlessEarnings, uInterestCoverage",EJECTED,
general,282330.KS,1,uCurrentRatio,EJECTED,
general,284740.KS,1,CFOlessEarnings,EJECTED,
general,289220.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,290670.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,294870.KS,1,netDebtToEBITDA,EJECTED,
general,298020.KS,1,uCurrentRatio,EJECTED,
general,299660.KQ,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,338220.KQ,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,348370.KQ,4,"netDebtToEBITDA, returnOnAssets, uCurrentRatio, uInterestCoverage",EJECTED,
general,402340.KS,1,CFOlessEarnings,EJECTED,
general,403550.KS,1,uCurrentRatio,EJECTED,
general,4BB.L,2,"returnOnAssets, uInterestCoverage",EJECTED,
