,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score,CycleHeat,moatScore
41,SBOK.ST,49.7000,10.3674,0.4150,Industrials,Buy,3.3284,0.0000,0.6163,48.4251,2.2469,-0.5467,0.5000,0.6661253352876171,3
42,SEIC,87.5100,15.9024,0.9670,Financial Services,Buy,5.7270,0.5966,0.2765,74.0852,0.9800,-0.4227,2.5000,0.4125636025898502,6
43,GFI,45.7350,5.1245,0.6270,Basic Materials,Buy,1.8860,1.6445,0.2868,41.3807,0.4505,-0.5306,4.5000,-0.565498385284464,3
44,DPM.TO,44.5500,10.2548,1.0240,Basic Materials,Buy,2.7736,0.1696,0.2889,52.4808,0.6251,-0.3386,4.5000,-0.48677824556858723,5
45,HEN3.DE,69.1600,6.2844,0.4340,Consumer Defensive,Buy,1.2105,3.0463,0.7727,49.5209,2.0842,-0.7098,1.5000,0.5645532624156948,4
46,HEN.DE,64.9000,6.2844,0.4340,Consumer Defensive,Buy,1.2105,3.0463,0.8235,49.5209,2.0842,-0.7098,1.5000,0.5645532624156948,4
47,0LJL.L,213.2900,8.8193,1.2840,Healthcare,Neutral,1.0313,0.2957,0.5675,90.3268,1.3729,-0.7174,3.0000,-0.030662703757767026,3
48,UHS,208.3900,8.8193,1.2840,Healthcare,Buy,1.0313,0.2957,0.5808,90.3268,1.3729,-0.7174,3.0000,-0.030662703757767026,3
49,DNG.TO,5.9100,6.4597,0.5750,Basic Materials,Buy,4.6329,0.8643,0.5082,10.1227,NaN,inf,4.0000,0.3012239699861488,2
50,0L7G.L,354.4700,16.8121,0.7890,Industrials,Buy,4.3994,0.6247,0.3186,51.8110,1.5190,1.4605,3.5000,0.5499123301826884,7
51,SNA,352.5800,16.8121,0.7890,Industrials,Buy,4.3994,0.6247,0.3203,51.8110,1.5190,1.4605,3.5000,0.5499123301826884,7
52,0JT5.L,200.8300,26.4169,1.7790,Technology,Neutral,2.2074,0.1762,0.0747,49.2234,0.2606,-0.4144,3.5000,0.03129096995073347,7
53,LRCX,203.0800,26.4169,1.7790,Technology,Neutral,2.2074,0.1762,0.0739,49.2234,0.2606,-0.4144,3.5000,0.03129096995073347,7
54,ZM,86.6300,10.7390,0.8710,Technology,Buy,4.3584,0.0000,0.4328,76.8734,2.6835,-0.6751,2.0000,-0.565498385284464,5
55,0RPW.L,47.9300,12.0750,1.5320,Financial Services,Buy,4.0207,0.9092,0.5288,69.1309,1.2309,-0.8204,1.5000,0.171669857580401,5
56,0QME.L,119.9982,7.0968,0.0780,Industrials,Strong Buy,2.4181,4.5438,0.5767,50.0473,1.3982,-0.9626,2.0000,-0.565498385284464,5
