source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
DVD.OL,ejected_below_floor,397297.99116900004,2026-08-21|NOK,1000000.0
EIOF.OL,ejected_below_floor,30843.93886,2026-08-21|NOK,1000000.0
0JPO.L,ejected_below_floor,820399.9500000001,2026-08-21|USD,1000000.0
KLA.DE,ejected_below_floor,609431.7457536001,2026-08-21|EUR,1000000.0
0I4T.L,ejected_below_floor,6102.99,2026-08-21|USD,1000000.0
GSC1.DE,ejected_below_floor,53673.13723200001,2026-08-21|EUR,1000000.0
0NNU.L,ejected_below_floor,9428.289024000002,2026-08-21|EUR,1000000.0
ALTPC.PA,ejected_below_floor,89830.33344,2026-08-21|EUR,1000000.0
ALTN.L,ejected_below_floor,940682.109444,2026-08-21|GBp,1000000.0
AZ2.DE,ejected_below_floor,44033.931520000006,2026-08-21|EUR,1000000.0
0RR8.L,ejected_below_floor,396635.736,2026-08-21|USD,1000000.0
68V.DE,ejected_below_floor,110586.37917600002,2026-08-21|EUR,1000000.0
FDBC,ejected_below_floor,698369.86,2026-08-21|USD,1000000.0
053580.KQ,ejected_below_floor,172738.5033862642,2026-08-21|KRW,1000000.0
ANTIN.PA,ejected_below_floor,408038.4737984,2026-08-21|EUR,1000000.0
HYDRA.AS,ejected_below_floor,42577.574400000005,2026-08-21|EUR,1000000.0
120030.KS,ejected_below_floor,58851.145629738,2026-08-21|KRW,1000000.0
PZA.TO,ejected_below_floor,655244.532918,2026-08-21|CAD,1000000.0
078520.KS,ejected_below_floor,867993.692440777,2026-08-21|KRW,1000000.0
BOI.PA,ejected_below_floor,66065.15937600001,2026-08-21|EUR,1000000.0
0QKP.L,ejected_below_floor,10769.025599999999,2026-08-21|CHF,1000000.0
0DTF.L,ejected_below_floor,32786.00776,2026-08-21|EUR,1000000.0
0NCA.L,ejected_below_floor,16315.837824000002,2026-08-21|EUR,1000000.0
0QZ5.L,ejected_below_floor,430008.0,2026-08-21|USD,1000000.0
MULT.DE,ejected_below_floor,63047.6129328,2026-08-21|EUR,1000000.0
ALPM.PA,ejected_below_floor,122938.919664,2026-08-21|EUR,1000000.0
AMG.DE,ejected_below_floor,182021.043768,2026-08-21|EUR,1000000.0
0QYZ.L,ejected_below_floor,236382.33330719997,2026-08-21|CAD,1000000.0
ALLUX.PA,ejected_below_floor,109405.35008,2026-08-21|EUR,1000000.0
BVFL,ejected_below_floor,437653.44000000006,2026-08-21|USD,1000000.0
036800.KQ,ejected_below_floor,577355.7702951402,2026-08-21|KRW,1000000.0
009180.KS,ejected_below_floor,143376.9718817695,2026-08-21|KRW,1000000.0
200670.KQ,ejected_below_floor,587711.686447249,2026-08-21|KRW,1000000.0
CXI.TO,ejected_below_floor,101033.42175180001,2026-08-21|CAD,1000000.0
058860.KS,ejected_below_floor,146706.6466122516,2026-08-21|KRW,1000000.0
0O6D.L,ejected_below_floor,3520.30272,2026-08-21|EUR,1000000.0
267980.KQ,ejected_below_floor,145531.74748518,2026-08-21|KRW,1000000.0
MPCK.DE,ejected_below_floor,97073.62297600001,2026-08-21|EUR,1000000.0
A4S.DE,ejected_below_floor,5527.43184,2026-08-21|EUR,1000000.0
0HC2.L,ejected_below_floor,6528.01,2026-08-21|USD,1000000.0
SFCA.PA,ejected_below_floor,747.0555456000001,2026-08-21|EUR,1000000.0
VUXEN.ST,ejected_below_floor,43030.6338,2026-08-21|SEK,1000000.0
0MT8.L,ejected_below_floor,10918.504128,2026-08-21|EUR,1000000.0
DRW8.DE,ejected_below_floor,143826.628896,2026-08-21|EUR,1000000.0
012280.KS,kept_no_reading,,not-captured,1000000.0
SVED-B.ST,ejected_below_floor,370286.59010000003,2026-08-21|SEK,1000000.0
CASE.ST,ejected_below_floor,7043.0661,2026-08-21|SEK,1000000.0
XAU.TO,ejected_below_floor,93581.2404036,2026-08-21|CAD,1000000.0
