,source,price,PE-ratio,beta,sector,rating_fmp,currentRatio,dividendYield,GrahamNumberToPrice,GrossProfitMargin_ttm,DCF-to-Price,M-Score,C-Score,CycleHeat
70,MBB.DE,208.0000,11.9413,0.9990,Industrials,Buy,3.0621,0.0000,0.4577,41.6652,1.8724,-0.8723,3.0000,-0.5772053250424806
71,TXG.TO,66.4100,7.9011,1.1470,Basic Materials,Buy,1.3773,0.0000,0.5304,56.7756,0.1918,-0.2803,5.0000,-0.5772053250424806
72,0QNG.L,288.0000,15.5355,0.4470,Industrials,Neutral,2.5817,1.8673,0.3358,56.2901,-0.2459,0.4794,4.5000,0.7059842673756249
73,NICE,115.7200,14.0128,0.3400,Technology,Buy,1.8337,0.0000,0.5514,67.0288,NaN,-0.5708,3.0000,0.2675879700898413
74,YETI,46.2400,17.5535,1.7860,Consumer Cyclical,Buy,2.1634,0.0000,0.2123,57.7035,1.1997,-0.4548,2.0000,0.608124157151743
75,MER.L,357.5000,3.4953,0.3620,Consumer Cyclical,Buy,0.7748,2.9070,0.0102,21.9436,NaN,inf,3.0000,-0.5772053250424806
76,MTE.DE,270.4000,12.3589,1.5030,Technology,Neutral,2.4598,0.0517,0.2737,43.8050,-0.0895,-1.6637,4.0000,-0.5772053250424806
77,KGC,29.1200,13.0525,1.1990,Basic Materials,Neutral,2.8300,0.1180,0.2874,45.5558,0.4528,-0.4744,3.5000,-0.5772053250424806
78,K.TO,40.1100,13.0525,1.1980,Basic Materials,Neutral,2.8300,0.1180,0.2087,45.5558,0.4675,-0.4659,3.5000,-0.5772053250424806
79,TRT.L,134.0000,7.3267,-0.0550,Consumer Cyclical,Buy,3.4150,0.0000,0.0055,86.7904,NaN,0.3539,3.0000,0.7059842673756249
80,MU,312.1500,12.3589,1.5030,Technology,Neutral,2.4598,0.0517,0.2371,43.8050,-0.0913,-1.6661,3.5000,-0.5772053250424806
81,HRTG,26.9200,3.8564,0.9810,Financial Services,Buy,0.0000,0.0000,0.8470,25.1685,2.4812,inf,3.5000,-0.5772053250424806
82,0DTF.L,29.7500,8.5559,0.3410,Healthcare,Buy,2.3912,5.3572,0.5948,73.2876,1.6848,-0.3477,2.0000,0.7059842673756249
83,EGO,36.4200,26.4288,1.2770,Basic Materials,Neutral,2.7941,0.0000,0.3061,48.4601,0.0996,-0.7434,4.0000,-0.5772053250424806
84,ELD.TO,50.1400,26.4288,1.2800,Basic Materials,Neutral,2.7941,0.0000,0.2223,48.4601,0.1056,-0.7377,4.0000,-0.18796226691069456
85,F3A.DE,231.0000,12.9703,1.5890,Energy,Neutral,1.9100,0.0000,0.3881,40.5312,-0.2509,-0.3509,4.0000,-0.5772053250424806
86,FSLR,272.0000,12.9703,1.5970,Energy,Neutral,1.9100,0.0000,0.3296,40.5312,-0.3111,-0.3442,4.0000,-0.5772053250424806
87,0R06.L,270.9500,12.9703,1.5890,Technology,Neutral,1.9100,0.0000,0.3309,40.5312,-0.3111,-0.3442,4.0000,-0.5772053250424806
88,KIN2.DE,25.0600,13.0525,1.1990,Basic Materials,Buy,2.8300,0.1180,0.3340,45.5558,0.3280,-0.4562,3.5000,-0.5772053250424806
