dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
AAIC-PB,AAIC,,,,AAIC|AAIC-PB|AAIC-PC|AAIN|AIW,preferred-suffix,4.28,28081000.0,120186680.0,canonicity,0,0,0,0,,not-captured,,not-captured
AAIC-PC,AAIC,,,,AAIC|AAIC-PB|AAIC-PC|AAIN|AIW,preferred-suffix,4.28,28081000.0,120186680.0,canonicity,0,0,0,0,,not-captured,,not-captured
AAIN,AAIC,,,,AAIC|AAIC-PB|AAIC-PC|AAIN|AIW,,4.2965,27973076.0,120186680.0,shares,0,0,0,0,,not-captured,,not-captured
AIW,AAIC,,,,AAIC|AAIC-PB|AAIC-PC|AAIN|AIW,,4.2965,27973076.0,120186680.0,shares,0,0,0,0,,not-captured,,not-captured
AAM-PB,AAM-PA,,,,AAM-PA|AAM-PB|APO-PB,preferred-suffix,76.81,578975612.0,44471116757.72,alphabetical,0,0,0,0,,not-captured,,not-captured
APO-PB,AAM-PA,,,,AAM-PA|AAM-PB|APO-PB,preferred-suffix,76.81,578975612.0,44471116757.72,alphabetical,0,0,0,0,,not-captured,,not-captured
ABST.TO,ABST,,,,ABST|ABST.TO,,7.83,52795073.0,413385421.59,punctuation,0,0,0,0,,not-captured,,not-captured
ABX.TO,B,Barrick Gold Corporation,Basic Materials,Basic Materials,ABX.TO|B,,36.7136,1666000000.0,61164857600.0,punctuation,0,0,0,0,4736626.0,2026-08-21,10971356.0,2026-08-21
ACABW,ACABU,,,,ACABU|ACABW,,11.2,23410000.0,262192000.0,alphabetical,0,0,0,0,,not-captured,,not-captured
ACACU,ACAC,,,,ACAC|ACACU,symbol-extension,11.44,4579493.0,52389399.92,canonicity,0,0,0,0,,not-captured,,not-captured
ACAHU,ACAH,,,,ACAH|ACAHU|ACAHW,symbol-extension,10.12,33147000.0,335447640.0,canonicity,0,0,0,0,,not-captured,,not-captured
ACAHW,ACAH,,,,ACAH|ACAHU|ACAHW,symbol-extension,10.12,33147000.0,335447640.0,canonicity,0,0,0,0,,not-captured,,not-captured
ACAXU,ACAX,,,,ACAX|ACAXU,symbol-extension,10.7,5219000.0,55843300.0,canonicity,0,0,0,0,,not-captured,,not-captured
ACB.TO,ACB,Aurora Cannabis Inc.,Healthcare,Healthcare,ACB|ACB.TO,,3.9604,61678703.0,244270922.9189,punctuation,0,0,0,0,458812.0,2026-08-21,1347341.0,2026-08-21
ACBAU,ACBA,,,,ACBA|ACBAU|ACBAW,symbol-extension,11.83,3431179.0,40590847.57,canonicity,0,0,0,0,,not-captured,,not-captured
ACBAW,ACBA,,,,ACBA|ACBAU|ACBAW,symbol-extension,11.83,3431179.0,40590847.57,canonicity,0,0,0,0,,not-captured,,not-captured
IDRA,ACGN,,,,ACGN|IDRA,,0.35,3256000.0,1139600.0,shares,0,0,0,0,,not-captured,,not-captured
ACQRU,ACQR,,,,ACQR|ACQRU|ACQRW,symbol-extension,9.92,61989000.0,614930880.0,canonicity,0,0,0,0,,not-captured,,not-captured
ACQRW,ACQR,,,,ACQR|ACQRU|ACQRW,symbol-extension,9.92,61989000.0,614930880.0,canonicity,0,0,0,0,,not-captured,,not-captured
ACRO-UN,ACRO,,,,ACRO|ACRO-UN,,10.28,16626.0,170915.28,punctuation,0,0,0,0,,not-captured,,not-captured
ACT.TO,ADUR,Aduro Clean Technologies Inc.,Industrials,Industrials,ACT.TO|ADUR,,14.82,32945095.0,488246307.9,volavg,1,0,0,0,21903.0,2026-08-21,557795.0,2026-08-21
ADERU,ADER,,,,ADER|ADERU|ADERW,symbol-extension,10.76,10305000.0,110881800.0,canonicity,0,0,0,0,,not-captured,,not-captured
