source_a,source_b,n_shared,name_a,name_b,shared_tokens,name_match,verdict,first_shared_date,last_shared_date
0F6L.L,MAU.PA,8,Etablissements Maurel & Prom S.A.,Etablissements Maurel & Prom S.A.,etablissements maurel prom,True,name_match,2018-10-01,2026-04-01
0OA4.L,VU.PA,7,VusionGroup,VusionGroup,vusiongroup,True,name_match,2022-04-01,2025-10-01
0K80.L,NEE,7,"NextEra Energy, Inc.","NextEra Energy, Inc.",energy nextera,True,name_match,2020-07-01,2026-04-01
AFGB,AFGC,7,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2021-01-01,2026-04-01
AFGB,AFGD,7,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2021-01-01,2026-04-01
AFGB,AFGE,7,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2021-01-01,2026-04-01
OTEX,OTEX.TO,7,Open Text Corporation,Open Text Corporation,open text,True,name_match,2024-01-01,2025-10-01
KEI.TO,KGEI,7,Kolibri Global Energy Inc.,Kolibri Global Energy Inc.,energy global kolibri,True,name_match,2024-01-01,2025-10-01
AQN.TO,AQNB,7,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities Corp.,algonquin power utilities,True,name_match,2020-04-01,2025-07-01
0YP5.L,ADYEN.AS,6,Adyen N.V.,Adyen N.V.,adyen,True,name_match,2014-10-01,2025-10-01
0A28.L,PRX.AS,6,Prosus N.V.,Prosus N.V.,prosus,True,name_match,2019-01-01,2026-01-01
DBV.PA,DBVT,6,DBV Technologies S.A.,DBV Technologies S.A.,dbv technologies,True,name_match,2022-10-01,2025-07-01
0UKH.L,BMO.TO,6,Bank of Montreal,Bank of Montreal,bank montreal,True,name_match,2020-07-01,2026-04-01
VET,VET.TO,6,Vermilion Energy Inc.,Vermilion Energy Inc.,energy vermilion,True,name_match,2023-07-01,2025-07-01
AFG,AFGB,6,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2021-01-01,2023-04-01
MEOH,MX.TO,6,Methanex Corporation,Methanex Corporation,methanex,True,name_match,2020-07-01,2025-01-01
0UGP.L,AIM.TO,6,Aimia Inc.,Aimia Inc.,aimia,True,name_match,2020-04-01,2026-01-01
0I6Q.L,DTE,6,DTE Energy Company,DTE Energy Company,dte energy,True,name_match,2020-07-01,2026-04-01
0I6Q.L,DTG,6,DTE Energy Company,DTE Energy Company 2021 Series,dte energy,True,name_match,2020-07-01,2025-07-01
HIVE,HIVE.TO,6,HIVE Digital Technologies Ltd.,HIVE Digital Technologies Ltd.,digital hive technologies,True,name_match,2023-04-01,2026-01-01
0LVJ.L,WU,6,The Western Union Company,The Western Union Company,union western,True,name_match,2020-07-01,2026-01-01
0R2J.L,AEM.TO,5,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,agnico eagle mines,True,name_match,2022-04-01,2026-04-01
CVE,CVE.TO,5,Cenovus Energy Inc.,Cenovus Energy Inc.,cenovus energy,True,name_match,2020-07-01,2025-07-01
0J72.L,HBAN,5,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2022-10-01,2026-04-01
0J72.L,HBANL,5,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2022-10-01,2026-04-01
0J72.L,HBANM,5,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2022-10-01,2026-04-01
BMO,BMO.TO,5,Bank of Montreal,Bank of Montreal,bank montreal,True,name_match,2024-10-01,2025-10-01
0R2O.L,FCX,5,Freeport-McMoRan Inc.,Freeport-McMoRan Inc.,freeport mcmoran,True,name_match,2025-04-01,2026-04-01
HUT,HUT.TO,5,Hut 8 Corp.,Hut 8 Mining Corp.,hut,True,name_match,2020-07-01,2025-04-01
EGO,ELD.TO,5,Eldorado Gold Corporation,Eldorado Gold Corporation,eldorado gold,True,name_match,2020-07-01,2026-01-01
0VCO.L,PEY.TO,5,Peyto Exploration & Development Corp.,Peyto Exploration & Development Corp.,development exploration peyto,True,name_match,2023-10-01,2026-01-01
0K76.L,RITM,5,Rithm Capital Corp.,Rithm Capital Corp.,capital rithm,True,name_match,2022-01-01,2025-07-01
DOO,DOO.TO,5,BRP Inc.,BRP Inc.,brp,True,name_match,2025-04-01,2026-04-01
0FRI.L,LBIRD.PA,5,Lumibird S.A.,Lumibird S.A.,lumibird,True,name_match,2022-04-01,2025-04-01
0R0U.L,CDE,5,"Coeur Mining, Inc.","Coeur Mining, Inc.",coeur mining,True,name_match,2020-07-01,2025-07-01
SRE,SREA,5,Sempra,Sempra,sempra,True,name_match,2020-07-01,2026-01-01
AQN,AQNB,5,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities Corp.,algonquin power utilities,True,name_match,2020-04-01,2025-07-01
FG,FGN,5,"F&G Annuities & Life, Inc.","F&G Annuities & Life, Inc.",annuities life,True,name_match,2019-07-01,2026-04-01
0VHA.L,SHOP,4,Shopify Inc.,Shopify Inc.,shopify,True,name_match,2020-07-01,2025-07-01
0VHA.L,SHOP.TO,4,Shopify Inc.,Shopify Inc.,shopify,True,name_match,2020-07-01,2025-07-01
0R2J.L,AEM,4,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,agnico eagle mines,True,name_match,2022-04-01,2025-07-01
0VJA.L,SLF.TO,4,Sun Life Financial Inc.,Sun Life Financial Inc.,financial life sun,True,name_match,2020-07-01,2026-01-01
0QYN.L,BTO.TO,4,B2Gold Corp.,B2Gold Corp.,b2gold,True,name_match,2025-07-01,2026-04-01
ORIO,ORIO.TO,4,Orion Digital Corp.,Orion Digital Corp.,digital orion,True,name_match,2025-01-01,2026-04-01
BIPC,BIPC.TO,4,Brookfield Infrastructure Corporation,Brookfield Infrastructure Corporation,brookfield infrastructure,True,name_match,2025-01-01,2026-04-01
0VQD.L,CB,4,Chubb Limited,Chubb Limited,chubb,True,name_match,2020-07-01,2022-10-01
0K5R.L,NAVI,4,Navient Corporation,Navient Corporation,navient,True,name_match,2021-04-01,2025-07-01
0HYP.L,CFG,4,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc.",citizens financial,True,name_match,2025-01-01,2026-04-01
0IRK.L,ALTA.PA,3,Altarea SCA,Altarea SCA,altarea,True,name_match,2025-04-01,2026-04-01
0JX5.L,MAC,3,The Macerich Company,The Macerich Company,macerich,True,name_match,2021-01-01,2025-07-01
PRN.TO,PROF,3,Profound Medical Corp.,Profound Medical Corp.,medical profound,True,name_match,2024-07-01,2025-04-01
0VJA.L,SLF,3,Sun Life Financial Inc.,Sun Life Financial Inc.,financial life sun,True,name_match,2020-07-01,2025-07-01
0JQR.L,KEY,3,KeyCorp,KeyCorp,keycorp,True,name_match,2025-07-01,2026-01-01
BCT.TO,BCTX,3,BriaCell Therapeutics Corp.,BriaCell Therapeutics Corp.,briacell therapeutics,True,name_match,2025-10-01,2026-04-01
0KEF.L,PNC,3,"The PNC Financial Services Group, Inc.","The PNC Financial Services Group, Inc.",financial pnc services,True,name_match,2025-04-01,2025-10-01
PHAR,PHARM.AS,3,Pharming Group N.V.,Pharming Group N.V.,pharming,True,name_match,2024-10-01,2025-04-01
