source,RoA,earnYield,grahamNumberToPrice,bVpRatio,revenueGrowth,incomeQuality,returnOnEquity,returnOnCapitalEmployed,currentRatio,grossProfitMargin,freeCashFlowYield,freeCashFlowPerShareGrowth,DcfToPrice,marketCapRevQuants,Altman-Z,Piotroski,tbVpRatio,BoScore,EPStoEPSmean,priceGrowth,CycleHeat,AggScore,rankOfRanks,symbol,buy_price,eval_price,total_return,current_price,current_return
ALFA.L,5.583106473672247,-0.3228044786722765,-0.30187467469250967,0.0,-0.18379663791270345,-0.0928080506989241,0.5118109443125802,3.4298219346727055,-0.1042804734402762,0.7504263763139591,0.199993389058662,0.250095032214836,0.4558926946738315,0.14230249470757708,0.20786503672204887,1.8814077970757088,-0.25157320291004576,-0.008207648588936236,0.06988165278231116,0.06982624511168944,0.39519145649657156,1.2682276360899056,0.3,ALFA.L,0.415,0.35,-0.1566265060240964,0.56125,0.352409638554217
SLP.L,4.626393899807631,0.006866567429707145,0.04117397252882742,0.03244893372956899,0.18965525127696417,-0.19216526241595058,0.2714553629019448,2.0783162816557095,0.29258790752543945,-0.1953076149566994,0.20001045784723737,1.0778327471703077,-0.2898298826079938,0.3794733192202055,0.11957137784157479,-0.6610351719455193,0.08682358172641305,0.18426652267589705,0.06818022149186005,-0.11596841702371831,-0.2064516157981724,0.7994298440081231,0.1,SLP.L,0.3096960625,0.24174270000000003,-0.21941952361761122,0.24029599999999998,-0.22409087781024017
BAM,1.8871440815419385,-0.3502349503660567,-0.30723251605202456,-0.1317229859656392,-0.03719056210379326,-0.21442328237712194,0.2904336860116516,1.7475083080784533,-0.11579973584447868,1.0739204725956801,0.19999260715980285,-0.31612238002302956,-0.485963358135018,-0.33203915431767983,1.2424811162365457,1.8814077970757088,-0.21448762137228417,-0.07282397751355921,0.07035883408942335,0.0967269954377116,0.6052426313775309,0.6517176005533761,2.3,BAM,7.1675,10.0425,0.40111614928496686,14.235,0.986048133937914
DAC,1.3467186199018664,0.3144381789571884,0.3589160600753202,0.2107416550203953,0.10329303312728194,0.08081554504742122,0.24945190324543223,-0.33768836437990446,-0.15456037306852208,0.3452413039424779,0.20001582463442932,1.1981144451773311,0.26961135421677934,0.14230249470757708,-0.12822199856025226,0.6101863125650947,0.4458372735488735,-0.09207139464004266,0.08740179692748128,-0.2108938797328993,0.4888513957800303,0.5528501186493358,0.2,DAC,13.165,18.515,0.4063805545005698,22.4525,0.7054690467147742
NRP,2.7700406104049606,-0.45999307595759575,-0.08806177138271436,-0.06361016224339736,0.24408182168316653,-0.17145592756938108,0.03713448674150317,1.5450241973316792,-0.12277929546717502,1.4252381614061964,0.20001987735988974,0.427817761518059,0.0,0.14230249470757708,-0.09041100482418311,-0.025424429690212302,0.027447581337308204,0.01791384608271945,-0.04395913368478828,-0.02170400435554784,-0.7187081520960805,0.5030913881301984,1.3,NRP,13.342940262267076,22.977879058953054,0.7221001224095207,25.44278773788443,0.9068351680952134
HLAG.DE,3.8291569996182084,-0.16327671516091333,-0.18974537214121917,-0.08986461063123412,0.21342805104897253,-0.06430359298699212,0.40332351184329596,1.4324184567118752,-0.15169071190702443,-0.4992760137840483,0.20000752081081752,0.6118668438818171,0.0,-0.33203915431767983,-0.06630946129721757,-0.025424429690212302,-0.183761207957705,0.1059020386609292,-0.2551341056483491,-0.03972279428834761,-0.07058250927329998,0.4664972743491673,1.0,HLAG.DE,44.4,33.75,-0.23986486486486483,31.75,-0.2849099099099099
HAFN,0.2266547248266306,-0.2594063034134695,-0.19129705466406985,-0.09555933314118521,1.1701746539089157,-0.2269196309342288,0.16550261538096073,-0.2167757883169621,-0.15633692217052583,-0.6567395711726534,0.19999155386884335,3.7608255529368892,0.0,-0.09486832980505136,-0.12170258675341365,0.6101863125650947,-0.15821585951615533,0.30662510297997037,0.06393429141790866,0.0740031001116544,0.04528967984877229,0.4445366207957925,1.7,HAFN,1.8274999999999997,1.8275000000000001,2.430036716005815e-16,1.2475,-0.31737346101231173
SKY,1.7487243344300094,-0.3147040346089945,-0.2736598444021941,-0.1147965475794167,0.10244079645786228,-0.16662353016183043,0.19472359250365306,1.0880649593376228,-0.09865931186544598,-0.7493891317644423,0.19999310345644827,3.0199392920251364,0.13729240256657912,-0.09486832980505136,0.08187365072550831,-0.6610351719455193,-0.2192793015683548,0.027537554645960978,0.045637011272536984,0.00010598962417918182,0.11896351378631113,0.40722809971305585,2.4,SKY,12.845614484094472,18.454977675075458,0.4366753492350668,17.94331660147531,0.3968437729228794
SEIC,2.6354921415520662,-0.3309988489867282,-0.28718415177867185,-0.1229202670651524,-0.25630285223675103,-0.1717140459377973,0.1932090391442071,0.575943825629184,0.060272485694072966,0.23423840000789736,0.19999191746407904,0.24633979284855412,-0.18844227514528716,-0.33203915431767983,0.29619071109543693,0.6101863125650947,-0.22214078489373473,-0.03982840529673089,0.07247602716526877,0.07448461065211238,0.6052426313775309,0.38524971095369714,1.6,SEIC,14.574999999999998,15.887500000000001,0.09005145797598654,21.2125,0.45540308747855934
CDFF.L,1.0411388985907122,-0.187472424530354,-0.10802635221107669,-0.008239589444718781,-1.0761464740098883,-0.18714258704282044,0.07612974582731753,-0.8929146481108845,0.8957557204047769,1.5978667894560572,0.19999506276716825,0.5348198581250487,0.0,0.3794733192202055,0.42542104863696506,0.6101863125650947,0.04690819338401614,-0.02882988122445413,0.06651608076821962,0.018796892807963483,0.37479593408900247,0.3779031900068351,0.4,CDFF.L,6.374999999999999,6.125,-0.03921568627450967,6.5,0.019607843137255044
